Adventure,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,TP,Renown,Downtime
DDAL07-14,Fathomless Pits of Ill Intent,11-16,13,4,"Scroll of Comprehend Languages, Scroll of Greater Restoration",The Mask of Wompona Yarp (Helm of Brilliance),,,Story Award: Dead Men Tell Tales,6000,10125/13500,4,8,1,10
DDAL07-15,Streams of Crimson,17-20,18,4,"Potion of Flying, Scroll of Regeneration, Scroll of Resurrection",Efreeti Chain,,,"Story Awards: Opal Pendant, In the Hands of the Enemy",137000,20250/27000,4,8,1,10
DDAL07-16,Pools of Cerulean,17-20,18,4,"Potion of Speed, Scroll of Dominate Monster",Vorpal Sword (Scimitar),,,Story Award: The Opal Pendant,30000,20250/27000,4,8,1,10
DDAL07-17,Cauldron of Sapphire,17-20,18,4,"Potion of Water Breathing (purchaseable), Potion of Resistance (Cold or Fire)(purchasable), Scroll of Freedom of Movement (purchasable), Scroll of Water Breathing (purchasable), Scroll of Greater Restoration, Arrows +2 (12)",Staff of the Magi,Cap of Water Breathing (purchasable),,Story Award: Atropal in a Cage,138000,20250/27000,4,8,1,10
DDAL07-18,Turn Back the Endless Night,17-20,18,4,"Potion of Flying, Potion of Supreme Healing, Scroll of Mass Heal, Scroll of Teleport",Scarab of Protection,,,"Story Awards: Friend of the Ageless, Your Tale is Over",48000,20250/27000,4,8,1,10
,,,,,,,,,,,,,,,
DDEP07-01-T1,Peril at the Port,1-4,3,4,Potion of Healing (4)," +1 Shortsword, +1 Leather, Eversmoking Bottle", +1 Trident,,"Story Awards: Alliance Black Operative, Barnacles the Parrot, Eye Patch, Flying Snake, Hero of Port Nyanzaru, Hook for a Hand, Map of the Jungle, Peg Leg, Pirate’s Curse, Uku the Spider Boy",~3080,675/1125,4,4,1,10
DDEP07-01-T2,,5-10,8,4,Potion of Superior Healing (4)," +1 Shortsword, +1 Leather, Eversmoking Bottle","Staff of the Woodlands, Cloak of the Bat",,,~9430,3375/5625,4,4,1,10
DDEP07-02-T1,Drums of the Dead,1-4,3,4,,Ring of Jumping,"Headband of Intellect, Wand of Lightning Bolts",,Story Award: Plague Buster,~1125,675/1125,4,4,1,10
DDEP07-02-T2,,5-10,8,4,,Wand of Lightning Bolts,"Ring of Evasion, Mantle of Spell Resistance",,,~4500,3375/5635,4,4,1,10
DDEP07-02-T3,,11-16,13,4,,+3 Wand of the War Mage,"+2 Half Plate, Wand of Polymorph",,"Story Awards: Blessed of Ubtao, Dark Promise, Lich Slayer",~10500,12500/19000,4,8,1,10
DDEP07-02-T4,,17-20,18,4,,Spellgaurd Shield,"Tome of Clear Thought, Tome of Leadership and Influence",,,~17500,20000/33000,4,8,1,10
