Code,Title,DMsGuild,Levels,Runtime,Magic Item,Magic Item Flavor,Story Award Title,Story Award Description,Spellbook,Locations,Series,Notes
CCC-ALMOG-24-DAGON02-02 ,A Glow in the Galenas,https://www.dmsguild.com/product/284788/A-Glow-in-the-Galenas,,,,,,,,,,
CCC-ALMOG-24-DAGON02-04,Beneath Ironfang Keep,https://www.dmsguild.com/product/284732/Beneath-Ironfang-Keep,5-10,4,"Cloak of the Manta Ray
Spell Scroll of Mage Hand
Potion of Healing (2)",,Touched by Dagon,"Touched by Dagon
The party could potentially complete this adventure with Bertrand’s jade necklace connecting them to Dagon and the larger story of the Jade Statue.",,White River Cascades,The Jade Curse (5),Property Ownership - Bertrand’s Estate. 
CCC-ALMOG-25-SALT01-05,How the Prison was Fed,https://www.dmsguild.com/product/284813/How-the-Prison-was-Fed,1-4,2,"Helm of Comprehend Languages
Ear Horn of Hearing
Potion of Growth
Potion of Healing
Scroll of Fireball",,,,,Hawksroost,,
CCC-ALMOG-26-DAGON01-01,Shadowed Bellview,https://www.dmsguild.com/product/284824/Shadowed-Bellview,1-4,2,"Bag of Holding
Candle of the Deep
Potion of Healing (2)",,Touched by Dagon,"Touched by Dagon
Keeps track of how many jade shards the character has collected. Circle the number of jade shards your character has collected.
1 2 3 4 5 6 7 8 9 10 11 12 13",,Bellview,The Jade Curse (1),
CCC-ALMOG-27-DAGON01-02,Cove of Fallen Souls,https://www.dmsguild.com/product/284815/Cove-of-Fallen-Souls,1-4,2,"Ring of Swimming
Dark Shard Amulet","Ring of Swimming
While wearing this ring, the user has no dreams or nightmares. Despite their restful slumber, the user experiences a sense of unease, as if the dreams are being drawn away and consumed by some unseen force.

Dark Shard Amulet
A single shard of seaglass, carved in the shape of a shark’s tooth, hangs on a leather thong necklace. This fetish to Iahovas fills the user with a desperate longing for love and acceptance, which cannot be satisfied.",,,,Bellview,The Jade Curse (2),
CCC-ALMOG-28 DAGON01-03,The Drowning Woods ,https://www.dmsguild.com/product/284826/The-Drowning-Woods,,,,,,,,,,
CCC-ALMOG-ESC03-01,Thoughts Lost,https://www.dmsguild.com/product/295799/CCCALMOG-ESC0301-Thoughts-Lost,,,,,,,,,,
CCC-ALMOG-ESC03-02,Mind Blank,https://www.dmsguild.com/product/295801/CCCALMOG-ESC0302-Mind-Blank,,,,,,,,,,
CCC-ALMOG-ESC03-03,Memory Leak,https://www.dmsguild.com/product/295803/CCCALMOG-ESC0303-Memory-Leak,,,,,,,,,,
CCC-AMER-01,Asleep and Awake ,https://www.dmsguild.com/product/247005/CCCAMER01-Asleep-and-Awake,1-4,4,"Eyes of Charming
Potion of Water Breathing
Scroll of Sanctuary","Eyes of Charming
Crafted of an oddly moist, slick leather with unsettling purplish lenses these goggles make the attuned wearer feel an odd kinship with the unwholesome denizens of the Far Realm and other aberrations.",Enslaved by Neogi,"Enslaved by Neogi
You have formerly been enslaved by Neogi and have developed a phobia of not being in control of your actions.",,Mulmaster,,
CCC-AN-01 ,Secrets of Golden Fire,https://www.dmsguild.com/product/263173/CCCAN01-Secrets-of-Golden-Fire,1-4,4,"Helm of Telepathy
Clockwork Amulet
Potion of Healing
Potion of Greater Healing
Spell Scroll of Shadow Blade","Helm of Telepathy
The helm protects all the areas that it should but only barely, using just enough material to cover them while leaving cosmetic gaps and slits. It sports a distinct geometric design that originated somewhere far to the east and stands out to any observer, but that slight build makes it possible to conceal the apparatus under a cloak as easily as one would a circlet or tiara.","Betrayed the School
Blessing of the Ki-rin","Betrayed the School
Your choices have made you a mortal enemy of the Swift Horse School and its Founder. They avoid you as best they can and are likely to retaliate against you with force should the conditions favor them. Perhaps one day you can redeem yourself in their eyes...

Blessing of the Ki-rin
You have helped the Ki-rin and its allies on the Moonsea and it may see fit to bless you with celestial aid down the road. This can only happen if you once again elect to help the School of the Swift Horse.",,Melvaunt,,"Downtime Activity: Saved the School.
Having aided the school in a time of great need, you are welcome to stay with them for a time, come what may. If you spend 5 downtime days training at Swift Horse, you train your spirit to make one future Wisodm saving throws with advantage, at which point this benefit disappears."
CCC-AN-02,The Wrathful Deity of Khurovogo ,https://www.dmsguild.com/product/250006/CCCAN02-The-Wrathful-Deity-of-Khurovogo,1-4,2,Periapt of Health,"Periapt of Health
The periapt is a diamond-shaped emerald with the elvish word for “health” floating inside the gem.","Goblin Folk Heroes
Adventurer Without a Heart
My Goblin Wife","Goblin Folk Heroes
Word of your deeds have been greatly exaggerated and spread throughout the Moonsea region. You have a reputation to help grease wheels… so long as the person you’re talking to listens to goblin folk tales.

Adventurer Without a Heart
Word has spread of your callous heart. When trying to charm a creature in the Moonsea region, suffer Disadvantage. People have heard how you throw women aside.

My Goblin Wife
You’ve married Peb, a goblin princess. Surprisingly, you make a great team. Once per adventure, you out of a scrape because of your ability to work very well together.
    Peb can grant Advantage on a social skill roll by joining you in the conversation, building off what the adventurer says. She can also help pick pockets or deactivate traps, granting Advantage to appropriate rolls.
    DMs are encouraged to roleplay Peb during her involvement, treating her as a strong, confident goblin princess.
    This story award is only good for adventures in the Anime North 2018 CCC series.",,Cormanthor Forest,,
CCC-AN-03,Winter Wonderland ,https://www.dmsguild.com/product/256915/CCCAN03-Winter-Wonderland,5-10,4,Heward’s Handy Haversack,"Heward’s Handy Haversack
This haversack is made of red and white leather and has golden clasps. There are silver bells on the bag, but they only make noise on the night of the winter solstice. Those who hear the bells ringing are reminded of a happy moment from their childhood and experience the most peaceful and restful night of sleep they can ever remember having.",,,,,,Holiday Themed
CCC-ANIME1-1 ,Legend of the Sword Bandit Surprise,https://www.dmsguild.com/product/236786/CCC--Anime--11-Legend-of-the-Sword-Bandit-Surprise,1-4,2,"Weapon +1 (Shortbow) 
Potion of Healing (2)
Scroll of Burning Hands",,,,,Hawksroost,,
CCC-ANIME1-2,"Let's Find the Sword, GO!",https://www.dmsguild.com/product/236787/CCC--Anime--12-Lets-Find-the-Sword-GO,5-10,2,"Shield +2
Potion of Greater Healing
Spell Scroll of Protection from Evil and Good","Shield +2 (Yata Mirror)
The Yata Mirror is an ancient relic created by the same creators of the Guardians.",To Suffer as Ilmater,"To Suffer as Ilmater
Your character has shown willingness to sacrifice just as Ilmater himself. As a reward, the grace of Sorrim’s deity has been bestowed upon you. While in the town of Hawksroost you have advantage on all checks that require Charisma.",,Hawksroost,,
CCC-ANIME1-3,Star Sword Return,https://www.dmsguild.com/product/236788/CCC--Anime--13-Star-Sword-Return,5-10,2,"Orb of the Stein Rune
Potion of Resistance (Poison)
Potion of Greater Healing","Orb of the Stein Rune
This spherical chunk of granite is about the size of a human fist. The stein rune—the rune of stone— appears on the orb as crystalline veins that play across its surface. When first grasped, the stone feels impossibly heavy, as if even a titan could not lift it. That feeling passes after a moment, allowing you to carry the stone with ease.",,,,Hawksroost,,
CCC-APL-01-01 ,It's Not Easy Being Gene,https://www.dmsguild.com/product/262265/CCCAPL0101-Its-Not-Easy-Being-Gene,1-4,4,"Weapon +1 (Lance)
Potion of Healing (2)
Spell Scroll of Bless
Spell Scroll of Hunter's Mark","Weapon +1 (Lance) (Broken Duergar Drill Bit)
Though shorter than a purpose-made lance, the King of the Blue Bayou bullywug has repurposed this broken bit of mining kit into an uncommonly effective weapon. Additionally, while underground, the bearer always knows the item’s depth below the surface and the direction to the nearest staircase, ramp, or other path leading upward. (Minor Property: Delver)

Potion of Healing (Applebottom Bros.)
This potion tastes of a six-course dinner with all the sides. If sipped, each taste is of a different course, beginning with a crisp Westgate salad, continuing through Fiddlehead soup, Elven bread paired with cheeses from the Tormite monastery at Helping Hand, steamed star lobster, and a broiled rothé steak. The dessert is a fine ripplebark cake with a mint ale.","You Have Nice Manners for A Thief and A Liar
Backstage Passes at the Pit","You Have Nice Manners for A Thief and A Liar
While not precisely as daunting as stealing from the horde of an Ancient Red Dragon, you did manage to sneak all the way into the feasthall of the Blue Bayou Bullywug before being caught, then talked your way out of a jam. Your success has given you the confidence to gain Advantage on the next three Charisma (Persuasion or Deception) checks made with nobles or persons of authority in the Moonsea area.

Backstage Passes at the Pit
A member of your party entered into single combat with the King of the Blue Bayou bullywug clan. Victorious or not, this story quickly achieves legendary status with the folk of Thentia, both noble and common.
    Gene has given you a paper badge on a string that will let you backstage at The Mage Pit and encourages you to introduce yourself to Gelzira Tunnelly. She’s a helpful woman to know.",,Thentia,The Scattered Planes (1),
CCC-ARCANA-01,The Phantom Pursuit,https://www.dmsguild.com/product/334713/CCCARCANA01-The-Phantom-Pursuit,1-4,2,"Immovable Rod
Potion of Healing",,,,,Cormanthor Forest,,"Nice big color maps at the end (Melbourne DDAL, Single Tearfall?)"
CCC-ARCANA-02,Seclusion,https://www.dmsguild.com/product/334689/CCCARCANA02-Seclusion,1-4,2,"Decanter of Endless Water
Potion of Resistance (Poison)
Spell Scroll of Healing Spirit","Decanter of Endless Water (Oyang’s Kettle)
This Decanter takes the form of an earthen-colored Ceramic Kettle. The Kettle has a wicker handle and is decorated with the various flora and fauna of the Cormanthor Forest. Especially prominent are designs of falcons, deer and a bear.
    Any water produced from this kettle smells faintly of Lemon Ginger and Pandan.

Spell Scroll of Healing Spirit
On one side of this scroll, you will find what appears to be a mixture of reminders and other notes written in elegant but shaky script. A bulk of the writing seems to be either a shopping list or a list of ingredients. This spell scroll appears to have been used as scratch paper.",,,,Cormanthor Forest,,
CCC-ARCON01-01 ,Forest Song,https://www.dmsguild.com/product/334613/CCCARCON0101--Forest-Song,,,,,,,,,,
CCC-ARCON01-02,A Whale of a Tale,https://www.dmsguild.com/product/334674/CCCARCON0102--A-Whale-of-a-Tale,1-4,2,"Lantern of Revealing
Potion of Greater Healing",,,,,"Oar's Rest (Moonsea), water",Oar's Rest,
CCC-ARCON01-03,Pharmacist Wanted,https://www.dmsguild.com/product/334450/CCCARCON0103--Pharmacist-Wanted,1-4,2,"Decanter of Endless Water
Potion of Fire Breath (2)","Decanter of Endless Water
Around the edge are framed pictures of female humans and the words ""A Circle of Life Treats Everyone Alike"" Has neat art in the adventure.

Potion of Fire Breath
This version smells vaguely of thyme, though have a bitter aftertaste.",,,,Oar's Rest (Moonsea),Oar's Rest,
CCC-AWE-01-02,The Chi Directive,https://www.dmsguild.com/product/320477/CCCAWE0102-The-Chi-Directive,1-4,2,"Green-Flame Mace
Lantern of Revealing",,,,,Elmwood,Mischief of Profiteering (1),Has green-flame mace
CCC-BFG01-01,A House Divided,https://www.dmsguild.com/product/322127/CCCBFG0101-A-House-Divided,5-10,2,"Weapon of Warning (Longsword)
Potion of Greater Healing
Potion of Heroism",,,,,Thentia,Avatar of Shar,
CCC-BFG01-02,Secrets of the Moon,https://www.dmsguild.com/product/322163/CCCBFG0102-Secrets-of-the-Moon,5-10,2,"Deck of Illusions
Mystery Key
Potion of Superior Healing","Mystery Key 
The key is made of a black metal with intricate designs on the base.",,,,"Thentia, Thar",Avatar of Shar,
CCC-BFG01-03,Dark Moon Return,https://www.dmsguild.com/product/321328/CCCBFG0103-Dark-Moon-Return,5-10,2,"Javelin of Lightning
Potion of Gaseous Form
Potion of Growth","Javelin of Lightning
The symbol of Selûne is embossed onto the head.",,,,"Thar, Underdark",Avatar of Shar,
CCC-BLD-1-1,Bleeding Gate: Pandemonium,https://www.dmsguild.com/product/218024/CCCBLD-11-Bleeding-Gate-Pandemonium,1-4,2,Periapt of Wound Closure,"Periapt of Wound Closure
This delicate silver chain has a brilliant-cut green gem held in a pendant the shape of a coiled snake.","Siblings in Peace
Chosen by the Peacestone
Peacesmith Negotiator","Siblings in Peace
At this player character’s touch the Peacestone did not glow. Any future attempts to touch the Peacestone yield the same results. The Peacestone’s behavior is mysterious, but does not prevent a person from broadening peace regardless of its illumination.

Chosen by the Peacestone
The Peacestone glowed, acknowledging this player character’s exceptional potential to broaden peace. Those chosen have extraordinary long lifespans and are granted free lodging for life at Emudomier’s Peacesmith Guild. They may reject or accept the calling to become a Peacesmith Negotiator.

Peacesmith Negotiator
Peacesmith training takes years, but after a few days study, meditation, and mentoring from the Paragon himself, you begin to understand the art of broadening peace. You may choose to spend 15 downtime days and make a donation of 50 gold to the Peacesmith Guild to gain a +2 bonus to one Charisma (Persuasion) check to attempt to persuade a creature to stop fighting, or to otherwise help cause a peaceful resolution in a conflict. This ability recharges after a long rest.",,Emudomier (Moonsea),Bleeding Gate (1),
CCC-BLD-1-2 ,Bleeding Gate: Amalgamation,https://www.dmsguild.com/product/218099/CCCBLD-12-Bleeding-Gate-Amalgamation,1-4,2,"Winged Boots
Spell Scroll of Revivify",,,,,Emudomier (Moonsea),Bleeding Gate (2),
CCC-BLD-01-03,Bleeding Gate: Lineage,https://www.dmsguild.com/product/231700/CCCBLD-0103-Bleeding-Gate-Lineage,5-10,4,"Stone of Controlling Earth Elementals
Potion of Healing
Scroll of Comprehend Languages","Stone of Controlling Earth Elementals
The stone weighs 5 pounds and is in the shape of a round mother goddess.","Siblings in Peace
Chosen by the Peacestone
Peacesmith Negotiator","Siblings in Peace
At this player character’s touch the Peacestone did not glow. Any future attempts to touch the Peacestone yield the same results. The Peacestone’s behavior is mysterious, but does not prevent a person from broadening peace regardless of its illumination.

Chosen by the Peacestone
The Peacestone glowed, acknowledging this player character’s exceptional potential to broaden peace. Those chosen have extraordinary long lifespans and are granted free lodging for life at Emudomier’s Peacesmith Guild. They may reject or accept the calling to become a Peacesmith Negotiator (below).

Peacesmith Negotiator
Peacesmith training takes years, but after a few days study, meditation, and mentoring from the Paragon himself, you begin to understand the art of broadening peace. You may choose to spend 15 downtime days and make a donation of 50 gold to the Peacesmith Guild to gain a +2 bonus to one Charisma (Persuasion) check to attempt to persuade a creature to stop fighting, or to otherwise help cause a peaceful resolution in a conflict. This ability recharges after a long rest.",,Emudomier (Moonsea),Bleeding Gate (3),Mechanical story award
CCC-BMG-01 CORE-1-1,A Scream in the Night,https://www.dmsguild.com/product/184998/CCCBMG01-CORE-11-A-Scream-in-the-Night,1-4,4,Potion of Greater Healing,,"Favor of Zellani
Chunk of Adamantine","Favor of Zellani
You save the life of Zellani, a priestess of the Maiden of Pain. To show her thanks, she has offered to perform standard spellcasting services (detailed earlier in this adventure) at a 25% discount. She may also help in other ways in subsequent adventures set in Melvaunt.

Chunk of Adamantine
For rescuing dwarven master-smith Boltac Thurdingard from the assassin, he gave you this chunk of raw adamantine ore. You can sell this chunk for 50 gp, or you can use the ore to craft a new weapon (it cannot be retroactively applied to an existing item). If you have multiple copies of this certificate, then you may combine them to forge a larger item.
    Only the items listed on this certificate may be forged using this certificate. Each item costs the listed number of chunks (each copy of this certificate represents one chunk and all certificates used must be voided at the same time; note the transaction on your logsheet).
1 chunk – dagger, light hammer, sickle 2 chunks – handaxe, javelin, mace, spear, scimitar, shortsword, trident 3 chunks – battleaxe, flail, longsword, morningstar, rapier, war pick, warhammer 4 chunks – glaive, greataxe, greatsword, halberd, lance, maul, pike",,Melvaunt,Chaos in Melvaunt (1),
CCC-BMG-02 CORE-1-2,A Cog in the Wheel,https://www.dmsguild.com/product/185274/CCCBMG02-CORE-12-A-Cog-in-the-Wheel,1-4,4,Potion of Healing,,Friendship of S133P13-773P,"Friendship of S133P13-773P
You have brought back to Melvaunt the malfunctioning modron S133P13-773P. It is gaining an independent consciousness, and it hopes that you will help it learn to be a great individual.",,"Melvaunt, Mechanus",Chaos in Melvaunt (2),Visit Mechanus
CCC-BMG-03 CORE-1-3,A Hole in the World,https://www.dmsguild.com/product/185275/CCCBMG03-CORE-13-A-Hole-in-the-World,1-4,4,Potion of Greater Healing,,"Hero of the Battle of Melvaunt
Leona’s Gratitude
Thomas Druat has His Eye on You","Hero of the Battle of Melvaunt
Historians will in time write of this event: the day brave heroes fought a battle on two front, against the mechanical menace that came through the portal while at the same time beating back an orc horde. Thanks to your help Melvaunt survived. While in Melvaunt, you receive free comfortable lifestyle when using downtime days after adventures set in Melvaunt.

Leona’s Gratitude
You have saved Leona’s life, and the Red Wizard is in your debt. She will make you one common or uncommon potion for no charge. This may only be used once, but the award may come into play in later adventures.

Thomas Druat has His Eye on You
Council of Lords member Thomas Druat is keenly aware of your presence in the city. Right now that could be a good thing or a bad thing. But you will definitely meet him again.",,Melvaunt,Chaos in Melvaunt (3),
CCC-BMG-04 CORE-2-1,Tales of Good & Evil,https://www.dmsguild.com/product/189087/CCCBMG04-CORE-21-Tales-of-Good--Evil,1-4,4,"Potion of Healing
Spell Scroll of Color Spray
Potion of Resistance (Necrotic)",,"Criminal Punch Line
Friend of Mulmaster","Criminal Punch Line
If the characters do not arrest Mericor Tasgaf, word spreads throughout Melvaunt’s criminal population that they are pushovers. As a result, Melvaunt’s criminals don’t take them seriously. As long as you possess this story award, you have disadvantage on Charisma (Intimidation) checks made to influence any of Melvaunt’s criminals. Additionally, Melvaunt’s law enforcement officials learn about your soft reputation among the city’s less savvy. As long as you possess this story award, you have disadvantage on Charisma (Persuasion) checks made to influence any of Melvaunt’s law enforcement officials.

Friend of Mulmaster
Characters who appeal to Lieutenant Tarheels on behalf of Brea Salvadine find themselves in the good graces of the people of Mulmaster. For as long as you possess this story award, you have advantage on Charisma (Persuasion) checks made to influence people from Mulmaster. In addition, merchants from Mulmaster offer you 20% off the sale price of any mundane good or service in the Player’s Handbook less than 500 gp.",,Melvaunt,,
CCC-BMG-05 CORE-2-2,Songs of Law & Chaos,https://www.dmsguild.com/product/189088/CCCBMG05-CORE-22-Songs-of-Law--Chaos,1-4,4,"Gloves of Thievery
Potion of Healing","Gloves of Thievery (Emerald Kidgloves)
These delicate, goatskin gloves are colored with a bright green pigment and slip onto the wearer’s hands effortlessly. While wearing these gloves, the wearer experiences irresistible generosity, expressing compliments to those around them and spending coin for the benefit of others without hesitation. Unlike conventional gloves of thievery, these gloves do not turn invisible when worn, but shrink or grow to accommodate a small or medium wearer’s size.",Enmity of the Cloisternooks,"Enmity of the Cloisternooks
You have done something to grievously wound the gnomish Cloisternook family. Perhaps you insulted their honor, or perhaps you caused irreparable damage to Darkglitter Depths. Maybe you even sold one of them into slavery. Word travels fast in the gnomish communities, though, and as a result you have disadvantage on all social skill checks when dealing with Cloisternook gnomes and clerics of Gond.

Feast of the Hound
The corrupted machine deep in the Darkglitter Depths drew in your essence, and in those terrifying final moments you saw something: an emaciated hound, gargantuan in size, feasting upon the souls of those that arrived before you. It gleefully tore them asunder, and then turned to you. As its teeth sank into your metaphysical flesh and you felt the hot stink of its breath wash over you, you were pulled back to the world – but not without a reminder: you have the scars of a dog’s bite somewhere on your body, and sometimes those scars stink and fester when in the presence of clerics and paladins.
",,Melvaunt,,
CCC-BMG-06 CORE-2-3,Edicts of Neutrality,https://www.dmsguild.com/product/189089/CCCBMG06-CORE-23-Edicts-of-Neutrality,1-4,4,Potion of Healing,,Favor of the Gods,"Favor of the Gods
For their part in stopping Cyric’s ritual and for allowing the trapped souls to achieve final rest, the adventurers gain the Favor of the Gods. During future adventures if they visit a church during play and make a donation equal to 10 gp x their level they gain inspiration. They can earn inspiration this way four times before they lose this boon.",,Melvaunt,,
CCC-BMG-25 CORE-3-1,The Spectral Incursion,https://www.dmsguild.com/product/239572/CCCBMG25-CORE-31-The-Spectral-Incursion,1-4,4,"Potion of Healing
Potion of Giant Strength (Hill)",,,,,Melvaunt,,
CCC-BMG-26 CORE-3-2,The Ghostly Infestation,https://www.dmsguild.com/product/239577/CCCBMG26-CORE-32-The-Ghostly-Infestation,1-4,4,"Ring of Mind Shielding
Potion of Healing (2)
Spell Scroll of Detect Thoughts",,,,,Melvaunt,,
