Adventure Code,Adventure Title,Tier,APL,Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,,Author,Treasure (GP),Min/Max XP Legacy,ACP,TP,Renown,Downtime
CCC-AMER-01, Asleep and Awake,1-4,4,4,"Potion of Water Breathing, Scroll of Sanctuary",Eyes of Charming,,,"Story Award: Enslaved by Neogi",,,530,1275/1700,4,4,1,10
CCC-AN-01,Secrets of Golden Fire,1-4,3,4,"Potion of Healing, Potion of Greater Healing, Scroll of Shadow Blade, Clockwork Amulet",Helm of Telepathy,Downtime Activity: Saved the School,,Story Awards: Betrayed the School / Blessing of the Ki-rin,,,525,900/1200,4,4,1,10
CCC-AN-02,The Wrathful Deity of Khurovogo,1-4,3,2,,Periapt of Health,,,Story Award: Goblin Folk Heroes / Adventurer Without a Heart / My Goblin Wife.,,,300,450/600,2,2,0.5,5
CCC-AN-03,Winter Wonderland,5-10,6,4,Potions of Healing,Heward’s Handy Haversack,,,Story Award: Silver Snowflake,,,500,2500/4000,4,4,1,10
CCC-ANIME-01-01,Legend of the Sword Bandit Surprise,1-4,3,2,"Scroll of Burning Hands, Potion of Healing (2)",Short Bow +1,,,,,,700,450/600,2,2,0.5,5
CCC-ANIME-01-02,"Let's Find the Sword, GO!",5-10,7,2,"Potion of Greater Healing (4), Scroll of Protection from Evil and Good",Yata Mirror (Shield +2),,,Story Award: To Suffer as Ilmater,,,2050,2250/3000,2,2,0.5,5
CCC-ANIME-01-03,Star Sword Return,5-10,7,2,"Potion of Poison Resistance, Potion of Greater Healing, Potion of Heroism",Orb of the Stein Rune,,,,,,3082,3750/5000,2,2,0.5,5
CCC-APL-01-01,It's Not Easy Being Gene,1-4,3,4,"Potion of Healing (2), Spell Scrolls of Bless & Hunter's Mark",Broken Duergar Drill Bit (+1 Lance),,,"Story Awards: ""You Have Nice Manners for A Thief and A Liar""; A Friend in the Pit",,,,,,,,
CCC-ARCANA-01,The Phantom Pursuit,1-4,,2,Potion of Healing,Immovable Rod,,,,,,,,,,,
CCC-ARCANA-02,Seclusion,1-4,,2,"Potion of Poison Resistance, Spell Scroll of Healing Spirit",Decanter of Endless Water,,,,,,,,,,,
CCC-ARCON01-01 ,Forest Song,,,,,,,,,,,,,,,,
CCC-ARCON01-02,A Whale of a Tale,1-4,,2,Potion of Greater Healing,Lantern of Revealing,,,,,,,,,,,
CCC-ARCON01-03,Pharmacist Wanted,1-4,,2,Potion of Fire Breath (2),Decanter of Endless Water,,,,,,,,,,,
CCC-AWE-01-02,The Chi Directive,1-4,3,2,,Green-Flame Mace,Lantern of Revealing,,,,,,,,,,
CCC-BFG01-01,A House Divided,5-10,,2,"Potion of Greater Healing, Potion of Heroism",Weapon of Warning (Longsword),,,,,,,,,,,
CCC-BFG01-02,Secrets of the Moon,5-10,,2,Potion of Superior Healing,Deck of Illusions,Mystery Key,,,,,,,,,,
CCC-BFG01-03,Dark Moon Return,5-10,,2,"Potion of Gaseous Form, Potion of Growth",Javelin of Lightning,,,,,,,,,,,
CCC-BLD-01-01,Bleeding Gate: Pandemonium,1-4,3,2,,Periapt of Wound Closure,,,"Story Award: Siblings in Peace, Story Award: Chosen by the Peacestone, Downtime Activity: Peacesmith Negotiator, Story Award: Peacesmith Guild Member",,,200,220/850,2,2,0.5,5
CCC-BLD-01-02,Bleeding Gate: Amalgamation,1-4,3,2,Spell Scroll of Revivify,Winged Boots,,,,,,487,800/1200,2,2,0.5,5
CCC-BLD-01-03,Bleeding Gate: Lineage,5-10,7,4,"Potion of Healing, Scroll of Comprehend Languages",Stone of Controlling Earth Elementals,,,"Story Award: Siblings in Peace, Story Award: Chosen by the Peacestone, Downtime Activity: Peacesmith Negotiator, Story Award: Peacesmith Guild Member",,,700,2000/20000,4,4,1,10
CCC-BMG-00,HILL 1-S Onslaught,5-10,8,4,Potion of Greater Healing,-,,,Story Award: Knight of the Plume,,,1000,4500/6000,4,4,1,10
,,,,,,,,,,,,,,,,,
CCC-BMG-01/CORE1-1,CORE-1-1 A Scream in the Night,1-4,,4,Potion of Greater Healing,-,,,"Favor of Zellani
Chunk of Adamantine",,,,,,,,
CCC-BMG-02/CORE1-2,CORE 1-2 A Cog in the Wheel,1-4,2,4,Potion of Healing,-,-,,Story Award: Friendship of S133P13-773P.,,,1000,450/600,4,4,1,10
CCC-BMG-03/CORE1-2,CORE1-3 A Hole in the World,1-4,3,4,Potion of Greater Healing,-,-,,"Story Awards: Hero of the Battle of Melvaunt, Leona’s Gratitude, Thomas Druat has His Eye on You",,,900,900/1200,4,4,1,10
CCC-BMG-04/CORE2-1,CORE2-1 Tales of Good and Evil,1-4,3,4,"Potion of Healing, Potion of Necrotic Resistance, Spell Scroll of Color Spray",-,,,"Story Awards: Criminal Punch Line, Friend of Mulmaster",,,450,450/600*,4,4,1,10
CCC-BMG-05/CORE2-2,CORE2-2 Songs of Law & Chaos,1-4,3,4,Potion of Healing,Emerald Kidgloves (Gloves of Thievery),,,"Story Awards: Enmity of the Cloisternooks, Feast of the Hound",,,2915,900/1200,4,4,1,10
CCC-BMG-06/CORE2-3,CORE2-3 Edicts of Neutrality,1-4,3,4,Potion of Healing,-,-,,Story Award: Favor of the Gods,,,1200+,1275/1700,4,4,1,10
CCC-BMG-07/HULB1-1,HULB1-1 Hulburg Rebuilding,5-10,8,4,Potion of Greater Healing,Vicious Mace,-,,,,,1665,4500/6000,4,4,1,10
CCC-BMG-08/HULB1-2,HULB1-2 Hulburg Burning,5-10,8,4,"Potion of Greater Healing, Potion of Necrotic Resistance",Lantern of Revealing,,,,,,2250,4500/6000,4,4,1,10
CCC-BMG-09/HULB1-3,HULB1-3 Hulburg Rising,5-10,8,4,Vial of Holy Water,Wand of Magic Missiles,-,,,,,1470+,4500/6000,4,4,1,10
CCC-BMG-10/HILL1-1,HILL1-1 Arrival ,5-10,6,4,"Potion of Greater Healing, Potion of Acid Resistance",Emerald Kidgloves (Gloves of Thievery),-,,"Story Awards: In Yestral’s Service, A Dissident is Here",,,3400,3000/4000,4,4,1,10
CCC-BMG-11/HILL1-2,HILL1-2 Exodus,5-10,7,4,"Potion of Hill Giant Strength, Potion of Growth",Periapt of Wound Closure,Downtime Activity: Quest,,"Story Awards: I Only Do This for Special Customers, You Should Stick Around for a While (options 1 & 2)",,,3200,3750/5000,4,4,1,10
CCC-BMG-12/HILL1-3,HILL1-3 Resurgance,5-10,8,4,"Potion of Greater Healing, Potion of Growth",Audience Stones (Sending Stones),-,,"Story Awards: Savior of Hillsfar, Story Awards: Savior of Hillsfar",,,2300,4500/6000,4,4,1,10
CCC-BMG-13/PHLAN1-1,PHLAN1-1 Sepulture,11-16,11,4,"Potion of Greater Healing, Spell Scrolls of Lesser Restoration, Windwall, and Zone of Truth",Miltiade's Shield (+3),,Eihim's Travelling Spellbook,"Story Awards: Barbarian, Blasphemer, Exposed",,,6000,8625/11500,4,8,1,10
CCC-BMG-14/PHLAN1-2,PHLAN1-2 Enemy of my Enemy,11-16,12,4,Potion of Polymorph,Tome of Understanding,,,Story Award: Master of the Thieves’ Guild ,,,10500,8625/11000,4,8,1,10
CCC-BMG-15/PHLAN1-3,PHLAN1-3 Subterfuge,11-16,12,4,-,Frost brand (Greatsword),-,,,,,14350,8625/11000,4,8,1,10
CCC-BMG-16/ELM1-1,ELM1-1 The Sage of Cormathor,5-10,8,4,"Potion of Healing (x2), Scroll of Mass Healing Word",Figurine of Wondrous Power (Ivory Goats),,,,,,3000,4500/6000,4,4,1,10
CCC-BMG-17/ELM1-2,ELM1-2 The Lost Sanctum,5-10,8,4,"Scroll of Blight, Scroll of Speak with Dead, Scroll of Bestow Curse",Bracers of Defense,,Mage/Archmage Spellbook*,,,,2500,4500/6000,4,4,1,10
CCC-BMG-18/ELM1-3,ELM1-3 The Battle of Elmwood,5-10,8,4,"Potion of Healing, Potion of Greater Healing, Potion of Fire Breath, Antitoxin (x2), Alchemist's Fire (x2)",Staff of the Woodlands,Scroll of Lesser Restoration,,,,,3000,4500/6000,4,4,1,10
CCC-BMG-19/HULB2-1,HULB2-1 Winter’s Frosty Kiss,5-10,8,4,"Potion of Resistance (Cold) (2), Potion of Healing (2)",Boots of the Winterlands,,,Story Award: Friendship of the Crushing Boar Tribe,,,1408,4500/6000,4,4,1,10
CCC-BMG-20/HULB2-2,HULB2-2 Winter’s Frigid Wrath,5-10,8,4,Spell Scroll of Dispel Magic,Flame Tongue (Longsword),,,"Story Award: Characters who swore themselves to the Order ofthe Flame should note it down on their log sheets.",,,1336 - 1536,4500/6000,4,4,1,10
CCC-BMG-21/HULB2-3,HULB2-3 Winter’s Sharp Bite,5-10,8,4,Potion of Greater Healing,Studded Leather +1,,,,,,2065,4500/6000,4,4,1,10
CCC-BMG-22/PHLAN2-1,PHLAN2-1 Demogogue,11-16,15,4,,Tyr's Blessing of the Mind,,,Story Award: In Service to the Iron General,,,5000+1000 or 500,8625/11500,4,8,1,10
CCC-BMG-23/PHLAN2-2,PHLAN2-2 Hatemaster,11-16,15,4,,Tyr's Blessing of Command,,,Story Award: In Service to the Iron General,,,5000+1000 or 500,8625/11500,4,8,1,10
CCC-BMG-24/PHLAN2-3,PHLAN2-3 The Royal We,11-16,15,4,,Tyr's Blessing of Luck,,,Story Award: In Service to the Iron General,,,5000+1000 or 500,8625/11500,4,8,1,10
CCC-BMG-25/CORE3-1,CORE03-01 The Spectral Incursion,1-4,1,4,"Potion of Healing (2), Potion of Hill Giant Strength",-,,,,,,875,225/300,4,4,1,10
CCC-BMG-26/CORE3-2,CORE03-02 The Ghostly Infestation,1-4,2,4,"Potion of Healing (2), Scroll of Detect Thoughts",Ring of Mind Shielding,,,,,,850,450/600,4,4,1,10
CCC-BMG-27/CORE3-3,CORE03-03 The Spirited Investigation,1-4,3,4,,Amulet of Shielding (Brooch of Shielding),,,"Story Awards: The Binder's Interest, Captain Eledstra's Regards, Soulless Survivor",,,300,900/1200,4,4,1,10
CCC-BMG-28/HILL2-1,Hill 2-1 The Red Gathering,5-10,8,4,Potion of Vitality,Portable Hole,,,"Story Awards: You’ve got a friend in me, Come on over",,,3650,4500/7500,4,4,1,10
CCC-BMG-29/HILL2-2,Hill 2-2 The Red Herring,5-10,8,4,,Hand Crossbow +1,,,"Story Awards: Enmity in Hillsfar, You’ve Got a Friend In Me, Friend of the Mage’s Guild, Friend of the Rogue’s Guild",,,500,4500/7500,4,4,1,10
CCC-BMG-30/HILL2-3,Hill 2-3 The Red Death,5-10,8,4,Philter of Love,Achis Atracta (Periapt of Proof Against Poison),,,"Story Awards: A Favor of Rogues, Hapless in Hillsfar, Lover's Enmity, Take Care of Her, You've Got a Friend in Me",,,3350,4500/7500,4,4,1,10
CCC-BMG-31/PHLAN3-1,PHLAN 3-1 The Conventicle of Chaos,1-4,3,4,"Potion of Healing, Spell Scroll of Invisibility",Stone of Good Luck,,,,,,799,900/1200,4,4,1,10
CCC-BMG-32/PHLAN3-2,PHLAN 3-2 The First Rule,1-4,3,4,Scroll of Shocking Grasp,Lantern of Revealing,,Holt's Spellbook,Story Award: Crucible Champion,,,1175,900/1200,4,4,1,10
CCC-BMG-33/PHLAN3-3,PHLAN 3-3 Spinning on the Edge,1-4,3,4,Potion of Healing,Bone-pommeled Glaive (+1),,,Story Award: Time Well Spin’t,,,650,900/1200,4,4,1,10
CCC-BMG-34/ELM2-1,ELM 2-1 Tendrils in the Fog,5-10,8,4,Potion of Greater Healing,Portable Hole,,,Friends of Tenebrosus Friend of Mercy Hill,,,3100,4500/6500,4,4,1,10
CCC-BMG-35/ELM2-2,ELM 2-2 Mists of the Moonsea,5-10,8,4,,Necklace of Prayer Beads,,,"Mourning Prince Ulatha, Alfred Lives, Lathai Lives",,,3000,4500/6500,4,4,1,10
CCC-BMG-36/ELM2-3,ELM 2-3 Vestiges of Darkness,5-10,8,4,"Spell Scroll of Reincarnate, Potion of Psychic Resistance, Potion of Growth",Elven Chain,,,The good news is...,,,2900,4500/6000,4,4,1,10
CCC-BMG-37/HULB3-1,HULB 3-1 Weakness of Rock,11-16,14,4,Potion of Speed,Manual of Quickness of Action,,,"Hanging with the Hags, Gratitude of Brightstar Moonsilver",,,5700,11250/15000,4,8,1*,10
CCC-BMG-38/HULB3-2,HULB 3-2 Dead Canaries,11-16,13,4,"Potion of Mind Reading
Scroll of Antipathy/Sympathy",Tome of Clear Thoughts,,,"Mental Fortitude, Mental Fracture",,,3500,8625/11500,4,8,1,10
CCC-BMG-39/HULB3-3,HULB 3-3 Darkest Vein,11-16,14,4,"Potion of Longevity
Potion of Supreme Healing
Spell Scroll of Plane Shift","Lance, +3",Planar Secrets,,"A Merciful Soul, Deadly Sins",,,35500,11250/15000,4,8,1,10
CCC-BMG-40/HULB4-1,HULB 4-1 Whispers from the Deep,11-16,14,4,Potion of Clairvoyance,Instrument of the Bards: Anstruth Harp,,,Whispers of Dagon,,,1680 + additional 1000 each,11250/15000,4,8,1,10
CCC-BMG-41/HULB4-2,HULB 4-2 Voices from the Deep,11-16,14,4,"8 alchemist’s fire, 2 potions of superior healing",Folding Boat,,,,,,16000,6000/11125,4,8,1,10
CCC-BMG-42/HULB4-3,HULB 4-3 Call of the Deep,11-16,14,4,"Potion of Water Breathing, Scroll of Water Breathing",Robe of Eyes,,,A Far Realms Connection,,,,11250/15000,4,8,1,10
CCC-BMG-43/PHLAN4-1,PHLAN 4-1 Ghoulies and Ghosties,5-10,8,4,,Helm of Teleportation,,,,,,,,4,4,1,10
CCC-BMG-44/PHLAN4-2,PHLAN 4-2 Long Leggity Beasties,5-10,8,4,,Cloak of the Bat,,,,,,,,4,4,1,10
CCC-BMG-45/PHLAN4-3,PHLAN 4-3 Things That Go Bump in the Night,5-10,8,4,"Potion of Flying, Scroll of Greater Restoration, Potion of Greater Healing",Wand of Fear,,,Friend of the Order of the Long Death and Quassine Colony Ring Story Awards & State of the Quassine Downtime Activity,,,,,4,4,1,10
CCC-BMG-46/HILL3-1,HILL 3-1 Shepherd the Weak,5-10,8,4,Potion of Greater Healing,Ring of Animal Influence,,,Farbough Farm B&B,,,1500,4500/6000,4,4,1,10
CCC-BMG-47/HILL3-2,HILL 3-2 Suffer the Children,5-10,8,4,"Potion of Greater Healing, Potion of Heroism, Potion of Necrotic Resistance",Wand of Wonder,,,Healer’s Gratitude,,,1850,4500/6000,4,4,1,10
CCC-BMG-48/HILL3-3,HILL 3-3 Spare the Rod,5-10,8,4,"Potion of Animal Friendship, Oil of Slipperiness, Potion of Clairvoyance",Ioun Stone of Reserve,Downtime Activity: Learn the Culture (Hillsfar),,"Story Awards: A Debt Owed, Hidey Hole, Whispers of Madness",,,1920,4500/6000,4,4,1,10
CCC-BMG-HULB1S,HULB1-S Extinction,,,,,,,,,,,,,,,0,0
CCC-BMG-HULB2S,HULB2-S Winter's Feast,5-10,8,4,Potion of Fire Breath,Ring of Resistance (Fire),Scroll of Lesser Resistance,,,,,800+,4500/6000,4,4,1,10
CCC-BMG-MOON,Moonshae Isles Regional Guide,N/A,N/A,N/A,N/A,N/A,Campaign reference guide for Moonshae Isles,,,,,N/A,N/A,,,,
CCC-BMG-MOON1-1,MOON 1-1 - Moonshae Treasure Hunt,1–2,1,6,Potion of Healing,-,Organizations,,"8 Possible Story Awards: Happi the Unhappy Oyster, Friend of the Rustfire Clan, A Dark Gem, Witwulf’s “Spellbook,"" Twin Destinies, Ice Cold Killer, Capt. Bluto’s Blunderbuss, A Debt Owed in Silver",,,395,,4,4,1,10
CCC-BMG-MOON1-2,Mind the Missive,,,,,,,,,,,,,,,,
CCC-BMG-MOON1-3,Heritage vs Kinship,,,,,,,,,,,,,,,,
CCC-BMG-MOON1-4,The Brave of West Breasal ,,,,,,,,,,,,,,,,
CCC-BMG-MOON1-5,The Wilderness Calls,,,,,,,,,,,,,,,,
CCC-BMG-MOON2-1,MOON 2-1 Defenders of Caer Moray,1-4,3,4,,+1 Dagger—The Wolves’ Claw.,Organizations,,"Story Awards: A Friend in Caer Moray, Defenders of Caer Moray",,,Various silvered weapons,,4,4,1,10
CCC-BMG-MOON2-2,MOON 2-2 Army of the Unseen,1-4,3,4,Potion of Healing,Longbow +1,Organizations,,"Story Awards: Dreams of Prophecy; Hero of Dynnegall; Farmstead – Dynnegall, Moray",,,170,,4,4,1,10
CCC-BMG-MOON2-3,MOON 2-3 The Eye in the Mist,1-4,3,4,"Potion of Cold Resistance, Potion of Fire Breath",Llyneth’s Cloak of Mists (Cloak of Elvenkind),,,"Story Awards: Eye in the Stone, I Have My Eye on You",,,,,4,4,1,10
CCC-BMG-MOON3-1,Atop the Fairheights,5-10,,4,Potion of Greater Healing,Periapt of Wound Closure,,,"Savior of Shale Rustfire
Death of Shale Rustfire",,,,,,,,
CCC-BMG-MOON3-2,Within the Tunnels of Dwarvenholm,5-10,,4,"Potion of Greater Healing, Potion of Heroism, Spell Scroll of Ceremony, Spell Scroll of Mind Spike",Adamantine Armor (Chain Shirt),,,,,,,,,,,
CCC-BMG-MOON3-3 ,Beneath the Cairnwell,5-10,,4,"Potion of Gaseous Form, Potion of Greater Healing, Potion of Poison Resistance",Weapon of Warning (Greatsword),,,,,,,,,,,
CCC-BMG-MOON4-1 ,Precious Cargo,1-4,,4,"Potion of Greater Healing, Spell Scroll of Hold Person",Rope of Climbing,,,,,,,,,,,
CCC-BMG-MOON4-2,Dangerous Dernall,1-4,1,4,"Potion of Healing, Spell Scroll of Dispel Magic",Cloak of the Manta Ray,,,"Brewmaster’s Bounty
Who Left the Portal Open?",,,250,225/300,4,4,1,10
CCC-BMG-MOON4-3,Gate to the Unknown,1-4,,4,Potion of Greater Healing,Periapt of Health,"Shadowneedle
(Unbreakable Arrow)",,"The Dark Fey’s Watchful Eye
Trapped below!",,,,,,,,
CCC-BMG-MOON5-1,Bloodlust Rising,5-10,,4,"Potion of Greater Healing, Potion of Hill Giant Strength",Adamantine Armor (Chain Mail),,,,,,,,,,,
CCC-BMG-MOON5-2,Bloodlust Contained,5-10,,4,"Spell Scroll of Hallucinatory Terrain, Spell Scroll of Summon Lesser Demons",Brooch of Shielding,,,,,,,,,,,
CCC-BMG-MOON5-3,Bloodlust Tempered,5-10,,4,Potion of Greater Healing,Ring of Mind Shielding,,,,,,,,,,,
CCC-BMG-MOON6-1,A Reopened Eye,5-10,,2,,Cloak of Protection,Enduring Spellbook,The Tome of Anothas,"Ashoral’s Friendship 
Zanz’s Appreciation",,,,,,,,
CCC-BMG-MOON6-2,Troubled Visions,5-10,,2,,Boots of Elvenkind,Moon-Touched Sword (any),,"Saviors of Temerity Bay
Mairin’s Debt",,,,,,,,
CCC-BMG-MOON6-3,Planar Convergence,5-10,,2,,Javelin of Lightning,Horn of Silent Alarm,,"Critter Keeper
Asper the Jellyflump",,,,,,,,
CCC-BMG-MOON7-1,The Temple of the Beast,5-10,,2,,Staff of the Python,,,,,,,,,,,
CCC-BMG-MOON7-2,The Temple of the Sun,5-10,,2,,Elemental Gem (Red),,,,,,,,,,,
CCC-BMG-MOON7-3,The Temple of Death,,,,,,,,,,,,,,,,
CCC-BMG-MOON8-1,Blood on the Moors,5-10,,4,,Gem of Brightness,,,Keeper of Lyrics,,,,,,,,
CCC-BMG-MOON8-2,Breasal Strife,,,,,,,,,,,,,,,,
CCC-BMG-MOON8-3,Grim View of Farview ,,,,,,,,,,,,,,,,
CCC-BMG-MOON9-1,Dark Moon Rising,,,,,,,,,,,,,,,,
CCC-BMG-MOON9-2,Dark Moon Marching,,,,,,,,,,,,,,,,
CCC-BMG-MOON9-3,Dark Moon Bound,,,,,,,,,,,,,,,,
CCC-BMG-MOON10-1,Whispers and Warnings,,,,,,,,,,,,,,,,
CCC-BMG-MOON10-2,Shadows and Shrouds,,,,,,,,,,,,,,,,
CCC-BMG-MOON10-3,Fortresses and Fortunes,,,,,,,,,,,,,,,,
CCC-BMG-MOON11-1,A Darkened City,,,,,,,,,,,,,,,,
CCC-BMG-MOON11-2 ,A Darkened Court ,,,,,,,,,,,,,,,,
CCC-BMG-MOON11-3,A Darkened Heart,,,,,,,,,,,,,,,,
CCC-BMG-MOON12-1,Nothing Is Sacred,11-16,,2,"Elixer of Health, Potion of Flying",Staff of the Woodlands,,,,,,,,,,,
CCC-BMG-MOON12-2,A Gift from the Queen,,,,,,,,,,,,,,,,
CCC-BMG-MOON12-3,Tempest of Malice,,,,,,,,,,,,,,,,
CCC-BMG-MOON13-1 ,Lure of the Reefs ,11-16,,4,"Potion of Superior Healing, Potion of Climbing, Spell Scroll of Control Winds",Ring of Free Action,,,,,,,,,,,
CCC-BMG-MOON13-2,Monsters of the Deep ,11-16,,4,"Potion of Vitality, Potion of Water Breathing, Spell Scroll of Freedom of Movement",Pearl of Power,,,,,,,,,,,
CCC-BMG-MOON13-3,Wolves of the Sea,11-16,,4,"Oil of Sharpness, Potion of Superior Healing, Spell Scroll of Control Water",Arrow-Catching Shield,,,,,,,,,,,
CCC-BMG-MOON14-1,Hearts Amiss,,,,,,,,,,,,,,,,
CCC-BMG-MOON14-2,The Lost Seasons,,,,,,,,,,,,,,,,
CCC-BMG-MOON14-3,Ghosts of Grief,,,,,,,,,,,,,,,,
CCC-BMG-MOON15-1,Shattered Omens,,,,,,,,,,,,,,,,
CCC-BMG-MOON15-2,Forgotten Fealty,,,,,,,,,,,,,,,,
CCC-BMG-MOON15-3,Fallen Wonder,,,,,,,,,,,,,,,,
CCC-BMG-MOON16-1 ,Augers of Spring,,,,,,,,,,,,,,,,
CCC-BMG-MOON16-2,Procession of the Sage,,,,,,,,,,,,,,,,
CCC-BMG-MOON16-3,Sacrificial Dance,,,,,,,,,,,,,,,,
CCC-BMG-MOON17-1,Sailing the Sea of Shadow,,,,,,,,,,,,,,,,
CCC-BMG-MOON17-2,Shed Blood Shed Light,,,,,,,,,,,,,,,,
CCC-BMG-MOON17-3,Hope Amidst the Ashes,,,,,,,,,,,,,,,,
CCC-BMG-MOON18-1,Phantom of Prophecy,,,,,,,,,,,,,,,,
CCC-BMG-MOON18-2,What We Reap,,,,,,,,,,,,,,,,
CCC-BMG-MOON18-3,Seeds of Discord,,,,,,,,,,,,,,,,
CCC-BMG-MOON19-1,A Compassionate Friend,,,,,,,,,,,,,,,,
CCC-BMG-MOON19-2,A Tide and a Storm,,,,,,,,,,,,,,,,
CCC-BMG-MOON19-3,The Castle of Mirrors,,,,,,,,,,,,,,,,
CCC-BMG-MOON20,Through the Storm,,,,,,,,,,,,,,,,
CCC-BMG-PHLAN1S,PHLAN1-S Uprising,,,,,,,,,,,,,,,,
CCC-BMG-PHLAN2S,PHLAN2-S Damnation,11-16,,4,,,,,,,,,,4,8,1,10
CCC-BWM-001,Howling on the Moonsea,5-10,8,4,,Horn of Blasting,,,,,,2550,4500/7500,4,8,1,10
CCC-BWM-002,The City in the Depths,5-10,8,4,Potion of Water Breathing,"Longsword, +2",Candle of the Deep,,,,,300+2600,4500/6000,4,8,1,10
CCC-BWM-003,A Tale of Two Towers,11-16,13,4,"Potion of Superior Healing, Potion of Firebreath","Aegis of the Raven Queen (Shield, +3)",Dread Helm,,Grosvenson?,,,1500+2500,10125/13500,4,8,1,10
CCC-BWM-005,Chasing Madness,5-10,,2,,Portable Hole,Dark Shard Amulet,,Captain Tanheel’s Manifest,,,,,,,,
CCC-BWM-007-01 ,The Beast Beneath,11-16,,4,Potion of Water Breathing,Wand of Fireballs,Clockwork Amulet,,Bert's Inside Angle,,,,,,,,
CCC-BWM-007-03,The Beast Unleashed,11-16,,4,"Potion of Superior Healing, Potion of Heroism",Daern's Instant Fortress,Perfume of Bewitching,,,,,,,,,,
CCC-BWM-04-01 ,Thralls of Zuggtmoy: The Myconic Nidus,5-10,,2,"Ammunition +1 (Arrow), Potion of Fire Breath",Weapon of Warning (Scimitar),,,,,,,,,,,
CCC-BWM-04-02 ,Thralls of Zuggtmoy: Sanctum of Rot,5-10,,2,"Potion of Hill Giant Strength, Scroll of Vampiric Touch",Cloak of Protection,,,,,,,,,,,
CCC-BWM-06,Introduction to Adventuring,1-4,,5 x 1 hr,,-,,,,,,,,,,,
CCC-BWM-07-02,The Beast Within,11-16,13,4,Potion of Heroism,Figurine of Wondrous Power (Golden Lions),Instrument of Scribing (Flute),,,,,,,,,,
CCC-CENTRIC-01-02 ,Road to Reconciliation,1-4,,2,Spell Scroll of Locate Animals or Plants,Saddle of the Cavalier,Boots of False Tracks,,"Eraka Peacemaker
Benevolent Takeover",,,,,,,,
