Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
PS-DC-GLITCH-01,"Roots, Bloody Roots",17-20,18,4,"Spell Scroll of Wrath of Nature, Potion of Heroism","Horn of Valhalla (Iron), Guardian property","Wand of Conducting, War Leader property",,"Blessing of Magic Resistance, Multiversal Bridge",Luís Ricardo 'DM Corvo' da Costa,100000,,Wand of Conducting not a valid reward at time of publishing
PS-DC-GMM-01,The Elemental Demiplane of Cheese,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-GMM-02,Pazuzu's Askew Kazoo,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-GMM-03,Frantic Frontier Fiasco,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-HNL-01,Nowhere Fast,1-4,3,4,"Potion of Healing, Spell Scroll of Find Familiar, Spell Scroll of Burning Hands",Ring of the Orator,Clothes of Mending,,,Jonathan Bennett,500,,
PS-DC-HNL-02,The Hungry Prince,1-4,3,4,"Potion of Healing, Spell Scroll of Protection From Evil and Good",Insignia of Claws,Chest of Preserving,,,Jonathan Bennett,374,,
PS-DC-HNL-03,Ardragon of Sigil,1-4,3,2,Spell Scroll of Silence,Sensory Stone,,,Namer,Jonathan Bennett,250,"Leather Armor (3), Scimitar (3), Traveler Clothes (3), Book (2), Flute, Holy Symbol Amulet",
PS-DC-HRS-00,Stolen Hours,1-4,3,4,Deck of Miscellany,"Gloves of Missile Snaring, Harmonious property","Breastplate of Gleaming, Strange Material property (time dragon scales)",,Wrath of The Family,Ron Angelo Gatinga,500,,
PS-DC-HRS-01,Unlimited Hours,5-10,8,4,"Potion of Pugilism, Potion of Fire Breath, Spellwrought Tattoo of Haste","Vicious Maul, Strange Material property","Enduring Spellbook, Guardian property",,"Ortolanus's Plan A, Ortolanus's Plan B",Ron Angelo Gatinga,5000,,
PS-DC-HYS-03,No Time to Die,17-20,18,4,"Keoghtom's Ointment, Glowrune Pigments","Platinum Scarf, Guardian property","Clockwork Amulet, Language property (Modron)",,"Blessing of Magic Resistance, Timeline Secured, Future Uncertain",Hunter Sinclair,90000,,
PS-DC-IC,Iron Cook,17-20,18,4,"Potion of Invulnerability, Potion of Heroism","Horn of Valhalla (Iron), Language property (Common)","Clothes of Mending, Language property (Common)",,"Charm of the Sun, Iron Cook",Brian Balagot,100000,,
PS-DC-MAR-01,"Death, Taxes, & Maruts",17-20,18,4,,"Plate Armor +3, Conscientious property","Clockwork Amulet, Guardian Property",,Boon of Speed,"Dev Alva, Nguyen Le",100000,,
PS-DC-MAR-02,"Planes, Trains, & Automatons",17-20,18,4,,Rod of Security,Dread Helm,,Boon of Planar Travel,Nguyen Le,100000,,
PS-DC-MECH-01,Melting Mechanus,17-20,18,4,,,,,,Noah Grand,,,
PS-DC-MIKE-01,The Clash for the Multiversal Championship,17-20,18,4,,"Plate Armor +3, Song Craft property",Ruby of the War Mage,,"Boon of High Magic, Multiversal Champion",Mike Arrow,100000,,
PS-DC-MORD-01,Mordenkainen's Memory Palace,5-10,8,4,"Deck of Illusions, Potion of Greater Healing, Spell Scroll of Summon Undead OR Spell Scroll of Tasha's Mind Whip OR Spell Scroll of Warp Sense","Mimir, Guardian property","Ruby of the War Mage, Delver property OR Ruby of the War Mage, Sentinel property (Fiends) OR Ruby of the War Mage, Wicked property","Diviner Wizard, Conjurer Wizard, Archmage",,Nick Stefanski,4850,Plate Armor,"Player choice drives magic item type, making it unavailable as DM award"
PS-DC-NBDD-01,The Greatest Gameshow,11-16,13,4,Spellwrought Tattoo of Legend Lore,"Amethyst Lodestone, Beacon property",Chest of Preserving,Archmage,"Blessing of Magic Resistance, Champion of the Gameshow",Robbie Pleasant,50000,,
PS-DC-NBDD-02,Ghost in the Hell,11-16,13,4,"Winged Arrows x5, Spell Scroll of Planar Binding, Oil of Slipperiness","Rod of Hellish Flames, Temperate property","Clockwork Amulet, Language property (Undercommon)",,,Robbie Pleasant,43000,,
PS-DC-NOS-01,Githzerai Glitch,17-20,18,4,,"Rod of Hellish Flames, Harmonious property","Clockwork Amulet, Language property (Abyssal)",,Boon of Luck,Lex Winter,50000,,
PS-DC-NOS-02,Broken Yet Unbowed,17-20,18,4,,"Half Plate +3, Strange Material property (dragon scale)",Pipe of Smoke Monsters,,Boon of Irresistible Offense,Lex Winter,100000,,
PS-DC-NOS-03,It's Always Boring in Automata,17-20,18,2,,"Amethyst Lodestone, Beacon property","Clothes of Mending, Gleaming property",,Boon of Spell Recall,Lex Winter,50000,,
PS-DC-NOS-04,"Goddess, Interrupted",17-20,18,4,Potion of Heroism,"Shortsword +3, Sentinel property (Fey)","Half Plate of Gleaming, Language property (Ancient Netherese)",,"Blessing of Magic Resistance, Abyssal Librarian",Lex Winter,12000 per character,,
PS-DC-PANDORA-JWEI-S2-01,Resurrection,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-02,Her Origin,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-03,Elder Eldritch's Nest,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-04,Echoes of the End,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-05,"Fall the Eternal Night, Despair",17-20,18,4,,,,,,JWei伟,,,
PS-DC-PESCH,Vhaeraun's Wish,11-16,13,4,,,,,,Jason Pesch,,,
PS-DC-PHP-CKA2,Qubicorubikonomicon,11-16,13,4,Potion of Superior Healing,"All Purpose Tool +3, Guardian property","Clockwork Amulet, Hidden Message property",,Blessing of Magic Resistance,Miguel Luis de Jesus,50000,Tin Foil Hat trinket,
PS-DC-PKL-05,Mass Hysteria,5-10,8,4,Potion of Fire Breath,"Astral Shard, Language property (Draconic)",Dark Shard Amulet,,,Andrew Geesy,5000,,
PS-DC-PKL-06,It's A Toss-Up,5-10,8,4,Keoghtom's Ointment (1 dose),"Half Plate +1, Strange Material property (jasper)",Chest of Preserving,,,Andrew Geesy,5000,,
PS-DC-PKL-07,Back to the Abyss,5-10,8,4,Spell Scroll of Summon Lesser Demons,"Heward's Handy Haversack, Sentinel property (Demons)",Clockwork Amulet,,,Andrew Geesy,5000,,
PS-DC-PKL-08,Darker Shade of Pale,5-10,8,4,Spell Scroll of Remove Curse,"Ring of Protection, Beacon property",Enduring Spellbook,,The Oinoloth,Andrew Geesy,5000,,
PS-DC-PKL-09,'Someday',5-10,8,4,Spell Scroll of Leeomund's Tiny Hut,"Trident +2, Waterborne property","Ruby of the War Mage, Language property (Aquan)",,,Andrew Geesy,5000,Trinket,
PS-DC-PKL-10,Behind Blue Eyes,5-10,8,4,Spell Scroll of Animal Messenger,"Figurine of Wondrous Power (Bronze Griffon), Language property (Deep Speech)","Staff of Adornment, Language property (Deep Speech)",,,Andrew Geesy,5000,,Reward summary from previous adventure in series.
PS-DC-PKL-11,Short Metal Circuits,11-16,13,4,,"Rod of Hellish Flames, Wicked property","Dread Helm, Language property (Qualith)",,Charm of the Moon,Andrew Geesy,5000,,
PS-DC-PKL-12,The Beaten Drum,11-16,13,4,"Elixir of Health, Spell Scroll of Rary's Telepathic Bond, Scroll of Protection (Demons)","Figurine of Wondrous Power (Obsidian Steed), Language property (Abyssal)",Pipe of Smoke Monsters,,The Name of The Dragon,Andrew Geesy,50000,,
PS-DC-PKL-13,The Endless Story,11-16,13,4,,"Amethyst Lodestone, Compass property","Rope of Mending, Language property (Giant)",,Blessing of Protection,Andrew Geesy,50000,,
PS-DC-PKL-14,The Split,11-16,13,4,,"Bow of Melodies, Guardian property","Half Plate of Gleaming, Strange Material property (clouds)",,"Charm of Euryale, He Followed Me Home",Andrew Geesy,50000,,
PS-DC-PKL-15,Shadows In My Veins,11-16,13,4,Bead of Force,"Eldritch Staff, Harmonious property","Pole of Collapsing, Temperate property",,"No More Lies, Deals and Devils",Andrew Geesy,50000,,
PS-DC-PKL-16,Some Like it Lukewarm,11-16,13,4,"Potion of Fire Giant Strength, Spell Scroll of Raise Dead, Chime of Opening","Staff of Thunder and Lightning, Hidden Message property","Clothes of Mending, Illusion property",,"These Clothes of Mending, I Loved the Game",Andrew Geesy,50000,,
PS-DC-PKL-17A,All's Hell,17-20,18,4,"Potion of Invulnerability, Potion of Superior Healing, Spell Scroll of Dispel Evil and Good, Quaal's Feather Token (Bird)",Horn of Valhalla (Iron),,,"Time Is On My Side, No Rest For The Righteous, Game Over",Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-PKL-17B,That Ends Hell,17-20,18,4,"Potion of Superior Healing, Keoghtom's Ointment","Ring of Spell Turning, Language property (Draconic)",,,"Blessing of Wound Closure, No Rest For The Righteous, Game Over",Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-PKL-18A,The Power,17-20,18,4,"Potion of Stone Giant Strength, Gem of Brightness, Glowrune Pigments, Oil of Etherealness","Platinum Scarf, Harmonius property","Clockwork Amulet, Guardian property",,Temporarily Defeated,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle.
Gem of Brightness may not be a valid consumable, player handout has a typo indicating a Chime of Opening - all other mentions are Glowrune Pigments"
PS-DC-PKL-18B,The Glory,17-20,18,4,"Keoghtom's Ointment, Potion of Superior Healing","Helm of Brilliance, Conscientious proprty","Clockwork Amulet, Temperate property",,Charm of the Gem,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-PKL-19A,Kingdom Come,17-20,18,4,"Elemental Gem (Blue Sapphire), Elemental Gem (Yellow Diamond), Elemental Gem (Red Corundum), Elemental Gem (Emerald)","Rod of Security, Conscientious proprty",,,I Know I'm Good,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle.
Reward summary mentions gold payment from an NPC not in the adventure. Text indicates a different amount."
PS-DC-PKL-19B,Come Undone,17-20,18,4,"Spell Scroll of Summon Draconic Spirit, Spell Scroll of Summon Celestial, Spell Scroll of Holy Weapon, Spell Scroll of Commune",Robe of Stars,,,,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-PKL-20A,Jawbreakers,17-20,18,4,"Potion of Pugilism, Arrows +2, Spell Scroll of Jallarzi's Storm, Spell Scroll of Yolande's Regal Presence","Plate Armor +3, Sentinel property (Dragons)","Dark Shard Amulet, Language property (Demodand)",,My Final Dungeon,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-PKL-20B,Jailbreakers,17-20,18,4,"Potion of Heroism, Potion of Invulnerability, Spell Scroll of Fount of Moonlight, Elixir of Health","Battleaxe +3, Guardian property",,,Prison Reform,Andrew Geesy,100000,,"Not sold separately, part of two adventure bundle."
PS-DC-POP-01,Pillars of Peril,17-20,18,4,,"Ring of Spell Turning, Harmonious property",,,"Boon of the Unfettered, Rampage Continues, Beasts Don't Have Rights, Brother of the Tarrasque",Hunter Sinclair,100000,,
PS-DC-PUB-01,Automatic Updates,5-10,8,2,Oil of Slipperiness,"Cube of Summoning, Sentinel property (Modrons)",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-02,Endless Glory,5-10,8,2,Potion of Hill Giant Strength,"Brass Horn of Valhalla, Delver property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-03,Hunters in the Night,5-10,8,2,Potion of Animal Friendship,"Vicious Heavy Crossbow, Guardian property",,,,Steve Hill,2000,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-04,Market Value,5-10,8,2,Spell Scroll of Zone of Truth,"Wings of Flying, Temperate property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-05,Rock Bottom,5-10,8,2,Spell Scroll of Tongues,"Ring of Protection, Guardian property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-06,Death Do Us Part,5-10,8,2,Potion of Greater Healing,"Mimir, Strange Material property (lantern archon remains)",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-07,Professor Bartlesby's Inventorium,5-10,8,2,Potion of Fire Breathing,"Figurine of Wondrous Power (Bronze Griffon), Strange Material property (mechanical)",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-08,Unremembered Things,5-10,8,2,Potion of Greater Healing,"Ioun Stone of Awareness, Secret Message property",,,,Steve Hill,2300,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-09,Reign of Frogs,5-10,8,2,Potion of Pugilism,"Plate Armor +1, Strange Material property (green slaad hide)",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-10,Absent without Leave,5-10,8,2,Dust of Sneezing and Choking,"Flame Tongue Whip, War Leader property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-11,Fallen for You,5-10,8,2,Oil of Slipperiness,"Shield +2, Beacon property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-12,The Endless Revel,5-10,8,2,Potion of Greater Healing,"Cli Lyre, War Leader property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-13,Escape from Paradise,5-10,8,2,Spell Scroll of Sending,"Mantle of Spell Resistance, Temperate property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-14,Beneath the Prison Tree,5-10,8,2,Spell Scroll of Nystul's Magic Aura,"Staff of Charming, Unbreakable property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-15,Spider Hunt,5-10,8,2,Spell Scroll of Spider Climb,"Rod of the Pact Keeper +2, Harmonious property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-PUB-16,Juxtaposition,5-10,8,2,Spell Scroll of Calm Emotions,"Ioun Stone of Protection, Harmonious property",,,,Steve Hill,2500,,"Not sold separately, part of four adventure bundle."
PS-DC-RAVENGARD-V,Duke Ravengard Gets Sent to Hell (Again),17-20,18,4,,"Crystal Ball of Telepathy, Hidden Message property","Clockwork Amulet, Key property",,Boon of Skill Proficiency,Jeremy Cheong,100000,Fine Clothes (ea),
PS-DC-RDP-03,The Upper Demonweb,17-20,18,2,,,,,,Johnny Smith,,,"Not sold separately, part of two adventure bundle."
PS-DC-RDP-04,The Lower Demonweb,17-20,18,2,,,,,,Johnny Smith,,,"Not sold separately, part of two adventure bundle."
PS-DC-RDP-05,Demon Queen of Spiders,17-20,18,4,,,,,,Johnny Smith,,,
PS-DC-SAERLOON-11,Canticle of the Dark Syphon,5-10,8,4,"Adamantine Arrows x5, Potion of Comprehension, Spell Scroll of Warp Sense","Ring of Cold Resistance, Sentinel property (Yetis/Trolls)","Enduring Spellbook, Secret Message property",Illusionist Wizard,"Ao's Earworm, Is It Secret, Is It Safe?, Temporary Custody, Zhentarim Apple Corps Sponsorship",Dennis R Hall,3710,"Rapier (1-3), Tent (3), Ration (50), Torch (15), Dagger (6-24), Wand (1-4), Breastplate (2)",
PS-DC-SB-BISH01,The Mill On Turley Hill,11-16,13,4,,,,,,GM Jace,,,
PS-DC-SS,Soul and Shadow,17-20,18,4,,"Studded Leather Armor +3, Temperate property","Clockwork Amulet, Guardian property",,Boon of Truesight,Brian Balagot,100000,,
PS-DC-STRAT-DRAGON-03,This One is for the Liches,11-16,13,4,,,,,,Nguyen Le,,,
PS-DC-STRAT-DRAGON-04,My Shattered Heart,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-05,Your Shattered Bond,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-06,Our Shattered Ambitions,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-07,The War of Dragons,17-20,18,4,,"Studded Leather +3, Song Craft property","Clothes of Mending, Gleaming property",,Boon of Immortality,Nguyen Le,50000,,
PS-DC-STRAT-TALES-05,War of the Roses,17-20,18,4,,,,,,Noah Grand,,,
PS-DC-STRAT-TALES-06,Dungeon & A Dragon,17-20,18,4,,,,,,James Clark,,,
PS-DC-STRAT-UNDEAD-02,Liches Just Want to Have Fun,11-16,13,4,,,,,,Nguyen Le,,,
PS-DC-STRAT-UNDEAD-03,Winner Winner Chicken Dinner,17-20,18,4,,,,,,"Noah Grand, Bryn Keeling",,,
PS-DC-STRAT-UNDEAD-04,Overtime,17-20,18,4,,,,,,"Noah Grand, Bryn Keeling",,,
PS-DC-STRAT-UNDEAD-05,Return of the Dragon,17-20,18,4,,"Platinum Scarf, Guardian property","Pipe of Smoke Monsters, Language property (Draconic)",,Boon of Spell Recall,Nguyen Le,25000,,
PS-DC-STRAT-WYRM-08,If You Can't Take The Heat...,17-20,18,4,"Spell Scroll of Greater Restoration, Potion of Lightning Resistance, Potion of Psychic Resistance, Potion of Superior Healing","Horn of Valhalla (Iron), Loud property OR Rod of Alertness, Guardian property OR Spirit Board, Delver property OR Studded Leather Armor +3, Fragile property",,,,John Paiva,100000,,
PS-DC-STRAT-WYRM-09,Waking in a Cold Sweat,17-20,18,4,"Spell Scroll of Greater Restoration, Potion of Cold Resistance, Potion of Fire Resistance, Potion of Necrotic Resistance","Animated Shield, Compass property OR Holy Avenger Longsword, Sentinel property (Demons) OR Scarab of Protection, Loud property OR Plate +2, Waterborne property OR Staff of Frost, Covetous property",,,,John Paiva,100000,,
PS-DC-STRAT-WYRM-10,There's Something in the Water,17-20,18,4,"Potion of Invulnerability, Potion of Necrotic Resistance, Potion of Superior Healing, Potion of Water Breathing","Crystal Ball of True Seeing, Compass property OR Half Plate +3, Waterborne property OR Nine Live Stealer Greatsword, Unbreakable property OR Shield +3, Temperate property OR Silver Dragon Scale Mail, Delver property",,,,John Paiva,100000,,
PS-DC-SV-A2,Escape from the Severed Vault,5-10,8,2,"Bead of Nourishment, Bead of Refreshment, Potion of Climbing","Mimir, Guardian property","Enduring Spellbook, Unbreakable propeerty",,Severed Village,Jeremy Cheong,2500,"Book (4), Alchemist's Supplies, Tinker's Tools",
PS-DC-TST-01,The Eye Behind the Mask,17-20,18,4,"Spell Scroll of Dawn, Potion of Invulnerability","Studded Leather Armor +3, Hidden Message property",Chest of Preserving,,"Charm of Fates, Helm Watches Over, Defenses Down, Eyes Shut",Aileen Adriane Cerrudo,100000,,
PS-DC-TT-202,May the Cause be with You,5-10,8,4,"Dust of Sneezing and Choking, Potion of Hill Giant Strength, Mind Crystal (Subtle)","Greatsword +2, Beacon property","Breastplate of Gleaming, Temperate property",,,Ting Yuen Tjiong,5000,,
PS-DC-TYM-DIV-01,"below the world, beneath the sun, i hear somebody singing",17-20,18,4,,"Ring of Spell Turning, Guardian property","Clockwork Amulet, Language property (Elven)",,"Boon of Speed, Those Who Descend into the Underworld, A Brother's Enmity",T.Y. Montiflor,100000,,
PS-DC-UMY-01,The Unmemory of You,1-4,3,4,Potion of Water Breathing,"Sensory Stone, Guardian property","Pipe of Smoke Monsters, War Leader property",,Disremembered,Charles Pandi,500,,
PS-DC-UMY-02,A Time to Disremember,1-4,3,4,,,,,,Charles Pandi,,,
