Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
FR-DC-DEATH,Debilitating Dairy,11-16,13,4,Mind Crystal (Quickened),"Elven Thrower, Sentinel property (Aberrations)","Wand of Conducting, Language property (Deep Speech)",,"Blessing of Valhalla, Illithids of Valhalla",Death 101010,50000,,
FR-DC-DEATH-MASQUERADE,Darkest Dairy,1-4,3,4,"Mind Crystal (Subtle), Spellwrought Tattoo of Shield, Spellwrought Tattoo of Absorb Elements","Cloak of Protection, Illusion property","Rope of Mending, Language property (Druidic)",,Ecology of a Vampire,Death 101010,930,,
FR-DC-DDG-01,Mind Games,5-10,8,4,,,,,,David Hobby,,,
FR-DC-DIGM-01-01,Sweet Tooth,1-4,3,4,Potion of Greater Healing,"Eyes of Minute Seeing, Language property (Modron)","Orb of Direction, Sentinel (Constructs)",,"Ire of the Candy Man, Automaton Entourage",Matt Houser,500,,
FR-DC-DIGM-01-02,Sweet Reassignment,1-4,3,4,Potion of Fire Resistance,"Gloves of Missile Snaring, Blissful property","Moon-Touched Shortsword, Temperate property",,"Conversion of Conduits Cubed, Zephyra's In Danger",Matt Houser,500,Wanted Poster,
FR-DC-DIGM-01-03,Sweet Ex Machina,1-4,3,4,Potion of Force Resistance,"Periapt of Wound Closure, Harmonious property","Cloak of Billowing, Confident property",,"Ghost in the Machine, Honour of the Shields",Matt Houser,500,,
FR-DC-DILL-01,Labor Day,5-10,8,4,Elemental Gem (Blue Sapphire),"Rod of the Pact Keeper +2, Beacon property",Chest of Preserving,,Whispers of the Moon,Andrew Geesy,5000,,
FR-DC-DIVA,Divaine and the Dandelions: One Night Only!,11-16,13,4,Spellwrought Tattoo of Yolande's Regal Presence,"Rhythm Maker's Drum +3, Guardian property","Silvered Mace, War Leader property",Vajra Safahr,"Charm of the Sun, Honorary Dandelion",Ron Angelo Gatinga,50000,,
FR-DC-DMJA-01,Encounters in Stormwreck Isle,1-4,3,4,,,,,,Jay Africa,,,
FR-DC-DOBU-02-01,Hoard of the Death Dragon,5-10,8,4,"Potion of Fire Breath, Spellwrought Tattoo of Dragon's Breath, Oil of Slipperiness","Necklace of Prayer Beads (Smiting x6), Muttering property","Chest of Preserving, Delver property",,,Douglas Bushong,5000,"Longsword, Longbow, Half Plate, Breastplate",
FR-DC-DOG,The Demon Dog of Harrowdale,1-4,3,4,Potion of Greater Healing,"Winged Boots, Temperate property",,,,Arthur Marques,250,,
FR-DC-DRESS-01,Goblin In A Dress,1-4,3,2,,,,,,R.P. Marsh,,,
FR-DC-DUNG-01,"Witch, Please - It's a Carnival",1-4,3,4,"Deck of Illusions, Deck of Miscellany, Potion of Psionic Fortitude",Robe of Useful Items,"Moon-Touched Scimitar, Delver property",,Pumpkin King/Queen,Hunter Sinclair,500,"Greataxe, Dagger (2), Leather Armor, Dart (52), Explorer's Pack, Thieves' Tools",
FR-DC-ELEMENT-DEATH,Everything Changed,11-16,13,4,"Mind Crystal (Quickened), Spellwrought Tattoo of Teleportation Circle, Spellwrought Tattoo fo Conjure Minor Elementals","Rod of Hellish Flames, Sentinel property (Elementals)","Orb of Time, Guardian property",,"Imix's Ire, Mist Sworn",Death 101010,50000,,
FR-DC-EXT-HV,Hive of the Vilified,1-4,3,4,Potion of Healing,Bag of Holding,,,,Extra Troubadour,300.04,Antitoxin,Adventure lacks a standard Reward summary page.
FR-DC-F&ADDM-GW1,Cold Open,5-10,8,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-GW2,Full Steam Ahead,5-10,8,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-GW3,Leapin' Lizards,5-10,8,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-GW4,A Bone to Pick,5-10,8,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-GW5,A Terminal Ambition,5-10,8,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-LES1,The Breath of Hapi,11-16,13,4,,,,,,Forever&ADayDM,,,
FR-DC-F&ADDM-NDF1,The New Dawn's Fire,1-4,1,4,,,,,,Forever&ADayDM,,,
FR-DC-FALL-01,Cathedral of Ice,11-16,14,4,,"Bow of Melodies (Shortbow), Temperate property",Mystery Key,,Blessing of Wound Closure,Lex Winter,7000 per character,,
FR-DC-FET-01,Vatras Besieged,5-10,9,4,,,,,,Bernhard Staneker,,,
FR-DC-FET-02,Vatras Abyss,5-10,10,4,,,,,,Bernhard Staneker,,,
FR-DC-FOT-02,The spider of Candlekeep,1-4,3,2,"Spellwrought Tattoo of Hunter's Mark, Mind Crystal (Subtle) (x2)","Boots of Striding and Springing, Language property (Druidic)",,,,Joshua Nelson,250,"Acid (4), Splint Armor, Shield (3), Lance (2)",
FR-DC-FOT-03,Showdown at the Forge of Tiamat,5-10,8,4,,,,,,Joshua Nelson,,,
FR-DC-FRI-13,Flamerule the 13th,1-4,3,2,Spell Scroll of Call Lightning,"Hags Eyee, Waterborne property","Dread Helm, Guardian property",,,Mitchell Tee,250,"Shortbow, Quiver, Silvered Arrows (20), War Pick",
FR-DC-GAMEJAM-01,Only (Peacock) Fans,11-16,13,2,"Potion of Psionic Fortitude, Potion of Pugilism, Potion of Growth","Cube of Summoning, Temperate property",,,,Jamie Chan,25000,,
FR-DC-GARY-01,Sand to Ash,5-10,8,4,,,,,,Marcello De Velazquez,,,
FR-DC-GARY-02,Wind to Stone,5-10,8,4,,,,,,Marcello De Velazquez,,,
FR-DC-GARY-03,Blade to Branch,5-10,8,4,,,,,,Teddy Benson,,,
FR-DC-GARY-04,Frost to Fire,5-10,8,4,,,,,,"Marcello De Velazquez, Randall Harris",,,
FR-DC-GHG-01,The Griffons of Longsaddle,1-4,3,4,"Potion of Healing, Scroll of Feather Fall, Mind Crystal (Subtle)","Gloves of Swimming and Climbing, Harmonious property",Staff of Birdcalls,,Glockberg Hunter's License,Tom Klein,500,"Climbing Kit (2), Hand Crossbow (2), Net (3), Bolts (20), Whip, Riding Saddle",
FR-DC-GHG-02,Owlbear Ascension,1-4,3,4,"Walloping Ammunition (Arrow), Potion of Climbing, Spellwrought Tattoo of Animal Friendship","Armor of Fungal Spores, Strange Material property (turtle shell)","Horn of Silent Alarm, Language property (Elven)",,Glockberg Hunter's License,Tom Klein,500,Hide Armor,
FR-DC-GHG-03,The March of the Manticore,1-4,3,4,Keoghtom's Ointment,"Wraps of Unarmed Prowess +1, Temperate property","Hat of Wizardry, War Leader property",,Glockberg Hunter's License,Tom Klein,500,"Splint Mail (2), Halberd (2), Heavy Crossbow, Bolts (20)",
FR-DC-GHG-04,Mummy Dust,1-4,3,4,Spellwrought Tattoo of Remove Curse,"Staff of the Python, Wicked property","Moon-Touched Scimitar, Guardian property",,Glockeberg Hunter’s License,Tom Klein,500,,
FR-DC-GOBLIN-01,Goblin's Gambit,1-4,2,2,Keoghtom's Ointment,"Wraps of Unarmed Prowess +1, Temperate property",,,"Wild Farewell, Nilbogs Curse, The Foundling",Steven Truong,250,"Studded Leather, Shield, Chain Shirt, Scimitar, Shortbow",
FR-DC-HAN-01-01,Harvest of the Withered Wilds,5-10,8,4,"Potion of Greater Healing, Potion of Cold Resistance","Ring of Free Action, Guardian property",Staff of Birdcalls,,Mist Sworn,Siobhan Hanlon,4500,,
FR-DC-IMP-01,Blood Price,11-16,13,4,Potion of Invulnerability,"Ioun Stone of Fortitude, Guardian property","Orb of Direction, Key property",,"Blessing of Wound Closure, Soargar's Legacy - Iltornar, Goretooth at Large",Pauline Feraren,35000,,
FR-DC-IMP-02,Hunting Moon,11-16,13,4,Spellwrought Tattoo of Steel Wind Strike,"Bow of Melodies (Longbow), Conscientious property","Candle of the Deep, Sentinel property (Humans)",,"Blessing of Magic
Resistance, Soargar’s Legacy – Ulfindos, Ire of the Grand Council, Favor of the Lords, Goretooth Reforged",Pauline Feraren,50000,,
FR-DC-KKON-01,Kontraption Kon,1-4,3,4,Potion of Greater Healing,Helm of Comprehend Languages,"Ear Horn of Hearing, Horn of Silent Alarm, Mystery Key, Rival Coin",,,Bredyn McCombs,1950,,"Adventure is formatted as an anthology of 1 hour adventures, but does not follow the required level range or assign separate codes for each.
Awards too much gold and magic items for either format."
FR-DC-KW-000,Highharvestide Hullabaloo,1-4,3,4,,,,,,Kat Wynne,,,
FR-DC-LAX-01-01,A Bone to Pick,5-10,8,4,,"Necklace of Prayer Beads (Blessing, Curing x3, Favor, Smiting), Compass property",Staff of Birdcalls,,,Jia Jian Tin,5000,,
FR-DC-LAX 01-02,No Strings Attached,5-10,8,4,,"Greatsword +2, Guardian property",Mystery Key,,,Jia Jian Tin,5000,,
FR-DC-LCO-01,When Stars Forget,17-20,18,4,,,,,,Richard Bellotti,,,
"
FR-DC-LGBTQ-01","
Pride for Phlan",11-16,15,4,,Robe of Scintillating Colors,Dread Helm,,,Dev Alva,30000,,
FR-DC-LIGA-01,Wyrmwell Flame,11-16,13,4,Potion of Fire Resistance,"Elven Thrower, Guardian property","Chest of Preserving, Gleaming property",,"Blessing of Protection, Rage of the Flying Flame, Hunted Dragons Mark, Unfulfilled Contract",Luís Ricardo 'DM Corvo' da Costa,50000,Mummified hand trinket,
FR-DC-LIGA-02,House of Shadow,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Summon Shadowspawn, Deck of Illusions","Longsword +2, Beacon property",Dread Helm,,,Noah Stavish,4016.05,"Ration, Grappling Hook, Crowbar, Rope",
FR-DC-LIGA-03,Doom Reborn,11-16,13,4,Mind Crystal (Quickened),"Robe of Stars, Harmonious property",Hat of Wizardry,,"Blessing of Magic Resistance, Resisted Daurgothoth’s Paralyzing Gaze, Mystra’s New Champions, Daurgothoth’s Collection",Brian Balagot,50000,,
FR-DC-LIGA-04,Many Spell's Gambit,11-16,13,4,,Ioun Stone of Fortitude,,,,Allan Smith,45000,,
FR-DC-LIGA-05,Blue Wyrm Rhapsody,5-10,8,4,"Elemental Gem (Yellow Diamond), Potion of Hill Giant Strength, Mind Crystal (Careful)","Wand of Wonder, Harmonious property","Wand of Conducting, War Leader property",,,Stephen and Pamela Denison,5000,"Scale Mail, Mace, Leather Armor (multiple), Scimitar (multiple), Studded Leather (multiple), Shortsword (multiple), Morningstar",
FR-DC-LIGA-06,Malaeragoth and the Chaos King,11-16,13,4,Potion of Superior Healing,"Robe of Scintillating Colors, Guardian property","Orb of Direction, Delver property",,Blessing of Magic Resistance,Ingus Pougher,50000,,
FR-DC-LIGA-07,The Lurking Blade,11-16,13,4,"Potion of Heroism, Mind Crystal (Quickened), Spellwrought Tattoo of Summon Draconic Spirit","Blast Scepter, Harmonious property",Mystery Key,,,Johnny Smith,25000,Trinket (random),
FR-DC-LIGA-08,A Song of Closure,11-16,13,4,"Potion of Invulnerability, Scroll of Protection, Potion of Fire Breath",Spellguard Shield,Horn of Silent Alarm,,,Jose Jimenez aka Lucifernus,25000,,"Awards a Scroll of Protection, but does not specify the type"
FR-DC-LIGA-09,A Chromatic Crescendo,11-16,13,4,"Potion of Superior Healing, Potion of Mind Control (Humanoid), Spell Scroll of Hallucinatory Terrain",Wand of the War Mage +3,,,,CJ Buchanan,50000,,"Adventure does not actually award gold, but implies it in conversation with questgiver. Potion of Superior Healing rewarded in adventure, not listed in summary or player handout. Potion of Mind Control and Spell Scroll listed in reward summary and player handout, not awarded during adventure."
FR-DC-LIGA-10,Tangled Threads of the Moor,11-16,13,4,,,,,,Spencer Navarra-Chew,,,
FR-DC-LOOSE-002,Spells Gone Wild,1-4,2,2,Spell Scroll of Mage Armor,Hat of Disguise,,,,RP Marsh,188,,Adventure lacks a standard Reward summary page.
FR-DC-MCG-CH1,The Open Hand,5-10,8,4,,,,,,Casey McGirt,,,
FR-DC-MCG-CH2,The Clenched Fist,5-10,8,4,,,,,,Casey McGirt,,,
FR-DC-MELB-00-01,Dead in Daggerford,1-4,3,2,Spell Scroll of Summon Undead,"Ring of Mind Shielding, Wicked property",,,"Mist Sworn, Thorn in the Side",Brendon Watson,250,,
FR-DC-MELB-00-02,The Weeping Maiden,1-4,3,2,Potion of Water Breathing,"Periapt of Wound Closure, Beacon property",,,Mist Sworn,Mike Arrow,250,,
FR-DC-MELB-00-03,The Freezing of Starflow Fall,1-4,3,2,Dust of Disappearance,"Adamantine Armor, Beacon property",,,"Mist Sworn, Write of Adventure","Cameron Pearce, Steven Truong",250,"Dagger, Sling",
FR-DC-MELB-01-01,Mistbourne: The Musical,5-10,8,2,Spell Scroll of Enemies Abound,"Bracers of Defense, Wicked property",,,"Gaylesford's Gift, Mist Sworn",Mitch Gatt,2500,,
FR-DC-MELB-01-02,The Broken Stronghold,5-10,8,2,Potion of Psionic Fortitude,Greatsword +2,,,Mist Sworn,Mike Arrow,2500,,
FR-DC-MELB-01-03,Signs of Corruption,5-10,8,2,Spell Scroll of Knock,"Periapt of Proof against Poison, Language property (Draconic)",,Mage,Mist Sworn,Johann Taslim,2500,,
FR-DC-MELB-01-04,Monsters,5-10,8,2,Potion of Healing,Wand of Binding,,,Mist Sworn,Jason Lee,2500,,"Potion of Healing listed in reward summary, not in adventure or player handout"
FR-DC-MELB-01-05,Book of Wild Magic,5-10,8,2,"Potion of Healing, Spell Scroll of Chaos Bolt, Spell Scroll of Color Spray","Necklace of Prayer Beads (Blessing, Curing, Favor, Smiting, Summons, Wind Walking), Language property (Primordial)",,,"Heir of Chaos, Mist Sworn","Steven Truong, Hugh Lee",2500,,
FR-DC-MELB-01-06,Syncopated Denouement,11-16,13,2,Potion of Watchful Rest,"Figurine of Wondrous Power (Golden Lions), Sentinel property (Dragons)",Mystery Key,,Mist Sworn,Alek Weber,40000,,
FR-DC-MELB-01-07,Secrets In The Deep,11-16,13,4,"Potion of Psychic Resistance, Spell Scroll of Dream","Dragonhide Belt +3, Delver property","Chest of Preserving, Temperate property",Archmage,Mist Sworn,Brendon Watson,50000,,
FR-DC-MELB-02-01,Voyage into Darkness,5-10,8,2,Oil of Slipperiness,"Wand of Binding, War Leader property",Rival Coin,,"Mist Sworn, Mist Seasoned",Cameron Pearce,2500,,
FR-DC-MELB-02-02,Brine and Bone,5-10,8,2,,,,,,"Brendon Watson, Mitch Gatt",,,
FR-DC-MELB-02-03,The Turning Tide,5-10,8,4,,,,,,Johann Taslim,,,
FR-DC-MELB-02-04,Flood of Fury,11-16,13,2,,,,,,Jason Lee,,,
FR-DC-MELB-02-05,Stormbound,11-16,13,2,,,,,,Mike Arrow,,,
FR-DC-MELB-02-06,Beneath Salt and Stone,11-16,13,4,,,,,,"Brendon Watson, Siobhan Hanlon",,,
FR-DC-MMM-01,Mystery Mansion Materializes,5-10,8,4,"Potion of Growth, Oil of Slipperiness, Spell Scroll of Conjure Barrage","Bloodwell Vial +2, Delver property","Talking Doll, Sentinel property (Shapechanger)",,"New Visitors, Part of the Mansion, Under New Management",John Ritter,5000,,"Awards both a standard magic item reward and a Hoard/Lair reward that does not include the other item. Primary villain does not have a treasure type, so Hoard option not listed here."
FR-DC-NEW-TIER1-1,A Damsel In Distress,,,,,,,,,Bernard Velasco,,,
FR-DC-NMB2-01,Better Together,1-4,3,2,Spell Scroll of Zone of Truth,"Wraps of Unarmed Prowess +1, Confident property",,,,N. M. Brickle,175,,
FR-DC-NMB-HUNT-01,Ice Water,1-4,3,4,Spell Scroll of Water Walk,"Gloves of Swimming and Climbing, Compass property","Candle of the Deep, Temperate property",,,N. M. Brickle,500,,
FR-DC-NMB-HUNT-01B,Forces of Hail,5-10,8,4,,,,,,N. M. Brickle,,,
FR-DC-NSO-BALANCE,A New Order Rises,1-4,3,4,"Potion of Fire Breathing, Potion of Healing",Mace +1,,,,Nick Oller,,,"Does not use the DC template
Awards invalid Spellbook
Unclear how much gold is awarded"
FR-DC-NUKE-01,The Search for the Scarlet Stallion,1-4,3,4,,,,,,Marcello De Velazquez,,,
FR-DC-NUKE-02,The Black Wyrm of Bog Hold,5-10,8,4,"Winged Crossbow Bolts (x5), Potion of Superior Healing (x2)","Half-Plate +1, Waterborne property","Cloak of Billowing, Guardian property",,One-Time Dill,Randall Harris,5000,Holy Symbol,"Potion of Superior Healing awarded in adventure text and player handout, Potion of Greater Healing in reward summary."
FR-DC-NUKE-03,The Sapphire Hoard,11-16,14,4,,,,,,Ed Stevens,,,
FR-DC-ONI-01,Oni of the Thousand Gates,5-10,8,4,"Potion of Heroism, Potion of Fire Resistance","Maul +2, Guardian property",Orb of Direction,,,Lex Winter,3600,,
FR-DC-ONI-02,Battlefield Blooms,5-10,8,4,"Potion of Greater Healing, Potion of Hill Giant Strength","Half Plate +1, Strange Material property (leather & bone)","Orb of Direction, Sentinel property (Undead)",,,Lex Winter,600 per character,,
FR-DC-ONI-03,The Great Purification Rite,5-10,8,4,Potion of Heroism,"Necklace of Prayer Beads (Favor x4, Blessing), Harmonious property OR Ring of Fire Resistance, Temperate property OR Ring of Spell Storing (Dispel Magic), Harmonious property",,,,"Lex Winter, Katriel Paige",700 per character,,
FR-DC-ONI-04,My Brother's Enemy,11-16,13,4,Potion of Heroism,"Energy Shortbow, Harmonious property",,,"Charm of Heroism, Ryujin Sleeps, Ryujin Awaits Your Command","Lex Winter, Katriel Paige",,,"Does not award gold, only refers to the Dungeoncraft allowance table"
FR-DC-PANDORA-JWEI-05,Chloe,11-16,13,2,"Spellwrought Tattoo of Misty Step, Potion of Growth, Oil of Slipperiness","Necklace of Prayer Beads (Blessing x2, Favor x3, Summons), Harmonious property",,,"Famine Shard Collected, Chloe's Gratitude, Samsareal's Ire, Father & Daughter Reunion, Moonstone of True Resurrection",JWei伟,25000,,
FR-DC-PANDORA-JWEI-06,The Eternals,11-16,13,4,,"Dragonhide Belt +3, Guardian property",,,"Blessing of Protection, Earl of Cormyr, Knight & Cat, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",JWei伟,50000,,
FR-DC-PANDORA-JWEI-07,Samsareal,11-16,13,4,Mind Crystal (Subtle),"Robe of Stars, Language property (Deep Speech)",,,"Charm of the Comet, Envy Shard Collected, Samsareal's Redemption, Maya Remembers You, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",JWei伟,50000,,
FR-DC-PANDORA-JWEI-08,Minerva,11-16,13,4,Mind Crystal (Quickened),"Elven Thrower, Sentinel property (Giants)",,,"Blessing of Weapon Enhancement, War Shard Collected, Minerva Surrendered, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",JWei伟,50000,,
FR-DC-PANDORA-JWEI-09,Echthra,11-16,13,4,"Oil of Etherealness, Spellwrought Tattoo of Far Step, Mind Crystal (Quickened)","Blast Scepter, Harmonious property",,Archmage,"Hatred Shard Collected, Echthra & Charlie Reunited!, Pact with Bhaal, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",JWei伟,50000,,
FR-DC-PANDORA-JWEI-10,Ares,11-16,13,4,Mind Crystal (Quickened),"Bow of Melodies, Guardian property","Horn of Silent Alarm, Loud property",,"Charm of the Fates, Death Shard Collected, Ares & Promise, A Gift from the Past, Moonstone of True Resurrection, Moonstone of True Resurrection (Used)",JWei伟,50000,,
FR-DC-PANDORA-JWEI-11,Maya,11-16,13,2,"Spellwrought Tattoo of Dispel Magic, Potion of Advantage","Periapt of Proof Against Poison, Sentinel property (Undead)",,,"Pain Shard Collected, Maya Rescued, Maya Metaphorically Saved",JWei伟,25000,,
FR-DC-PANDORA-JWEI-12,Pandora,11-16,13,2,"Spellwrought Tattoo of Dispel Magic, Mind Crystal (Extended)","Necklace of Prayer Beads (Blessing x2, Curing, Favor x2, Summons), Blissful property OR Necklace of Prayer Beads (Blessing x2, Curing, Favor x2), Blissful property",,,"Pandora is my Daughter!, Pandora is my Best Friend!, Farewell Pandora!, Together with my Daughter, End of Pandora Series",JWei伟,25000,,
