,Adventure Title,Level Range,Recommended Level,Page Numbers,Consumables,Magic Items,,Spellbooks & Scrolls,Story Awards/Other,Fixed Treasure (GP),Rolled Treasure (GP),Chapter /Section Title,Runtime
DDHC-TOA-8,Area 1: Warehouse,,,20,Potion of Greater Healing (2),,,,,50,,,
DDHC-TOA-8,Area 2: The Empty Smithy,,,20,,Whisper,,,,200,,,
DDHC-TOA-8,Area 4: The Kennels,,,21,,,,,,300,,,
DDHC-TOA-8,Area 5: The Pasha's Lodge,,,22,"Potion of Animal Friendship, Potion of Heroism",,,,,200,,,
DDHC-TOA-8,Area 6: Guest Residences,,,22,,Bullseye Lantern Skull,Wooden Gecko Earrings,,,,,,
DDHC-TOA-8,Area 7: Servant's Quarters,,,22,,,,,,200,,,
DDHC-TOA-8,Area 8: The Alchemists' House,,,23,"Potion of Healing (3), Potion of Greater Healing (3), Potion of Invisibility, Elixir of Health",,,,,,,,
DDHC-TOA-8,Area 9: The Rapids Tavern,,,23,,,,,Items from Byre in the Pine Wilden without downtime expenditure,,,,
DDHC-TOA-8,Area 10: Asric's Workshop,,,24,"Potion of Poison, Potion of Fire Breath (2)",,,,,265,,,
DDHC-TOA-8,Area 11: The Docks,,,24,,,,,Large Rowboat with Mast and Sails,,,,
DDHC-TOA-8,Room 1: Entrance,,,27,,,,,,150,,,
DDHC-TOA-8,Room 4: The Test of Resolve,,,28,,,,,,50 for each abyssal lizard,,,
DDHC-TOA-8,Room 6: Preparation Chamber,,,28,,"Necklace of Prayer Beads (Bless, Curing, and Favor)",,,,200,,,
DDHC-TOA-8,Room 8: Alter to Sess'innek,,,29,+1 Arrows (20),Mithral Breastplate,,,,150,,,
DDHC-TOA-8,Room 10: Hall of the Lizard Kings,,,30,Potion of Growth,+1 Scimitar,,,,300,,,
DDHC-TOA-9,Ruins of Matolo,,,,,,,,,,,,
DDHC-TOA-9,Encounter 1: Veneration,5-10,,11,,,,,3 rolls on Trinket table (PHB 160),5gp + 1d10 sp,,,HC
DDHC-TOA-9,Encounter 2: Sluggish,,,11,,,,,,1200,,,
DDHC-TOA-9,Why Did It Have To Be Snakes?,,,14,,+1 Scimitar,Figurine of Wondrous Power (Bronze Griffin),,a circlet made of gold and precious gems (no listed value),20,,,
DDHC-TOA-9,A Trap!,,,15,Potion of Greater Healing (2),Nolzur's Malvelous Pigments (2 pots),,,,590,,,
DDHC-TOA-10,Ruins of Hisari,,,,,,,,,,,,
DDHC-TOA-10,Part 1: First Rule is Don't Spore About Fight Club,11-16,,7,"Potion of Greater Healilng, Potion of Poison",Ioun Stone of Leadership,,,"Whip that has been rolled into a ball and that has a clenched hand still attached, a headless mouse",1000,,,HC
DDHC-TOA-10,Part 2: The Voice Behind the Curtain,,,10-12,"Scroll of Detect Thoughts, Scroll of Hypnotic Pattern",Adamantine Armor (players' choice),,,,250,,,
DDHC-TOA-10,"Part 3: Blood, Laughter and Tears",,,18-21,,Flame Tongue (sword of players' choice),"Cloak of Arachnida, +3 Scimitar",,Option to transform into a Yuan-ti pureblood,2250,,,
DDHC-TOA-11,Hunter,,,,,,,,,,,,
DDHC-TOA-11,1. Adventure Primer,1-4,,3,,,,,,200,,,HC
DDHC-TOA-11,2. A World of Hurt,,,4-7,Potion of Healing,,,,,188.25,,,
DDHC-TOA-11,"3. If It Bleeds, We Can Kill It",,,8-12,,,,,,200,,,
DDHC-TOA-12,Encounters in the Jungles of Chult,,,,,,,,,,,,
DDHC-TOA-12,Beacon of the Spirit,n/a,,2,,,,,Charm of Fly,25,,,HC
DDHC-TOA-12,Chwinga Challenge,,,3,,Wand of Magic Missiles,,,,,,,
DDHC-TOA-12,Jungle Chase,,,4,,,,,,,,,
DDHC-TOA-12,"Monkey See, Monkey Do",,,5,,,,,,1000,,,
DDHC-TOA-12,Most Dangerous Game,,,6,,Cloak of Elvenkind,,,,,,,
DDHC-TOA-12,Pyramid of the Moon,,,7-8,,Eyes of Charming,,,,3100,,,
DDHC-TOA-12,River Hop,,,9,,,,,,78,,,
DDHC-TOA-12,Tanua's Troop,,,10,,Quaal's Feather Token (Swan Boat),,,,25,,,
DDHC-TOA-12,The Weeping Grove,,,11,,"+1 Spear, +1 Club, +1 Greatclub","Tree Spirit Spear, Tree Spirit Club, Tree Spirit Greatclub",,,,,,
DDHC-TOA-12,We Delved Too Deep,,,12,,,,,,875,,,
DDHC-TOA-13,The Risen Mists,,,,,,,,,,,,
DDHC-TOA-13,Part 1: The Stormreavers,11-16,,6-11,"Potion of Water Breathing; Scroll of Revivify, Scroll of Vampiric Touch",Quiver of Ehlonna,,,,1040,,,HC
DDHC-TOA-13,Part 2: Ruins of the World Serpent,,,12-20,Potion of Greater Healing (2); Scroll of Greater Restoration,"Heward's Handy Haversack, Staff of the Woodlands",,,,4650,,,
DDHC-TOA-13,Part 3: Dark Mirrors,,,21-25,Potion of Clairvoyance,Keoghtom's Ointment,Spare,,,1062.5,,,
DDHC-TOA-14,Xanathar's Lost Notes to Everything Else,,,,,,,,,,,,
DDHC-TOA-14,Part 1: Ships in the Dark,1-4,,70-74,,,,,Sailing ship (2),2252.7,,,HC
DDHC-TOA-14,Part 2: The Adder's Nest,,,74-77,,,,,,700,,,
DDHC-TOA-14,Part 3: Mind Over Merchants,,,77-81,Scroll of Protection from Good and Evil,Ring of Fire Resistance,Shortsword +1,Dwarf Apprentice Wizard's Spellbook,,850,,,
DDHC-TOA-15,Maze of Shadows,11-16,,,,,,,,,,,
,The Corrupters,,,,"Potion of Poison, Scroll of Protection from Undead",Mace of Terror,,,,,,,
,Tomb of the Last Sovereign,,,,"Scroll of Protection from Undead, Potion of Superior Healing, Potion of Water Breathing","Circlet of Blasting, Mithral Breastplate",Robe of Useful Items,,,,,,
,,,,,"5x Keoghtom's Ointment, Scroll of Greater Restoration","Lantern of Revealing, Void Shard",Oathbinder,,,,,,
,Trials of the Deceiver,,,,"Possible rolled items: Potion of Superior Healing, Spell Scroll of 5th level",,,,,,,,
,,,,,"One of the following, randomly determined: Potion of Heroism, Potion of Invulnerability, Potion of Superior Healing, Spell Scroll of 4th level",,,,,,,,
,,,,,"Elixer of Health, Potion of Fire Resistance, Scroll of Raise Dead",Mantle of Spell Resistance,Helm of Teleportation,,,,,,
,,,,,,"Choose: Ring of Regeneration, Spellguard Shield, Tome of Understanding, +3 Weapon (DMs Choice)",,,Ubtao's Blessing,,,,
