Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
PS-DC-HRS-00,Stolen Hours,1-4,3,4,Deck of Miscellany,"Gloves of Missile Snaring, Harmonious property","Breastplate of Gleaming, Strange Material property (time dragon scales)",,Wrath of The Family,Ron Angelo Gatinga,500,,
PS-DC-HRS-01,Unlimited Hours,5-10,8,4,"Potion of Pugilism, Potion of Fire Breath, Spellwrought Tattoo of Haste","Vicious Maul, Strange Material property","Enduring Spellbook, Guardian property",,"Ortolanus's Plan A, Ortolanus's Plan B",Ron Angelo Gatinga,5000,,
PS-DC-HYS-03,No Time to Die,17-20,18,4,"Keoghtom's Ointment, Glowrune Pigments","Platinum Scarf, Guardian property","Clockwork Amulet, Language property (Modron)",,"Blessing of Magic Resistance, Timeline Secured, Future Uncertain",Hunter Sinclair,90000,,
PS-DC-IC,Iron Cook,17-20,18,4,"Potion of Invulnerability, Potion of Heroism","Horn of Valhalla (Iron), Language property (Common)","Clothes of Mending, Language property (Common)",,"Charm of the Sun, Iron Cook",Brian Balagot,100000,,
PS-DC-MAR-01,"Death, Taxes, & Maruts",17-20,18,4,,"Plate Armor +3, Conscientious property","Clockwork Amulet, Guardian Property",,Boon of Speed,"Dev Alva, Nguyen Le",100000,,
PS-DC-MAR-02,"Planes, Trains, & Automatons",17-20,18,4,,Rod of Security,Dread Helm,,Boon of Planar Travel,Nguyen Le,100000,,
PS-DC-MECH-01,Melting Mechanus,17-20,18,4,,,,,,Noah Grand,,,
PS-DC-MIKE-01,The Clash for the Multiversal Championship,17-20,18,4,,"Plate Armor +3, Song Craft property",Ruby of the War Mage,,"Boon of High Magic, Multiversal Champion",Mike Arrow,100000,,
PS-DC-MORD-01,Mordenkainen's Memory Palace,5-10,8,4,"Deck of Illusions, Potion of Greater Healing, Spell Scroll of Summon Undead OR Spell Scroll of Tasha's Mind Whip OR Spell Scroll of Warp Sense","Mimir, Guardian property","Ruby of the War Mage, Delver property OR Ruby of the War Mage, Sentinel property (Fiends) OR Ruby of the War Mage, Wicked property","Diviner Wizard, Conjurer Wizard, Archmage",,Nick Stefanski,4850,Plate Armor,"Player choice drives magic item type, making it unavailable as DM award"
PS-DC-NBDD-01,The Greatest Gameshow,11-16,13,4,Spellwrought Tattoo of Legend Lore,"Amethyst Lodestone, Beacon property",Chest of Preserving,Archmage,"Blessing of Magic Resistance, Champion of the Gameshow",Robbie Pleasant,50000,,
PS-DC-NBDD-02,Ghost in the Hell,11-16,13,4,,,,,,Robbie Pleasant,,,
PS-DC-NOS-01,Githzerai Glitch,17-20,18,4,,"Rod of Hellish Flames, Harmonious property","Clockwork Amulet, Language property (Abyssal)",,Boon of Luck,Lex Winter,50000,,
PS-DC-NOS-02,Broken Yet Unbowed,17-20,18,4,,"Half Plate +3, Strange Material property (dragon scale)",Pipe of Smoke Monsters,,Boon of Irresistible Offense,Lex Winter,100000,,
PS-DC-NOS-03,It's Always Boring in Automata,17-20,18,2,,"Amethyst Lodestone, Beacon property","Clothes of Mending, Gleaming property",,Boon of Spell Recall,Lex Winter,50000,,
PS-DC-NOS-04,"Goddess, Interrupted",17-20,18,4,Potion of Heroism,"Shortsword +3, Sentinel property (Fey)","Half Plate of Gleaming, Language property (Ancient Netherese)",,"Blessing of Magic Resistance, Abyssal Librarian",Lex Winter,12000 per character,,
PS-DC-PANDORA-JWEI-S2-01,Resurrection,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-02,Her Origin,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-03,Elder Eldritch's Nest,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-04,Echoes of the End,17-20,18,4,,,,,,JWei伟,,,
PS-DC-PANDORA-JWEI-S2-05,"Fall the Eternal Night, Despair",17-20,18,4,,,,,,JWei伟,,,
PS-DC-PESCH,Vhaeraun's Wish,11-16,13,4,,,,,,Jason Pesch,,,
PS-DC-PHP-CKA2,Qubicorubikonomicon,11-16,13,4,Potion of Superior Healing,"All Purpose Tool +3, Guardian property","Clockwork Amulet, Hidden Message property",,Blessing of Magic Resistance,Miguel Luis de Jesus,50000,Tin Foil Hat trinket,
PS-DC-PKL-05,Mass Hysteria,5-10,8,4,Potion of Fire Breath,"Astral Shard, Language property (Draconic)",Dark Shard Amulet,,,Andrew Geesy,5000,,
PS-DC-PKL-06,It's A Toss-Up,5-10,8,4,Keoghtom's Ointment (1 dose),"Half Plate +1, Strange Material property (jasper)",Chest of Preserving,,,Andrew Geesy,5000,,
PS-DC-PKL-07,Back to the Abyss,5-10,8,4,Spell Scroll of Summon Lesser Demons,"Heward's Handy Haversack, Sentinel property (Demons)",Clockwork Amulet,,,Andrew Geesy,5000,,
PS-DC-PKL-08,Darker Shade of Pale,5-10,8,4,Spell Scroll of Remove Curse,"Ring of Protection, Beacon property",Enduring Spellbook,,The Oinoloth,Andrew Geesy,5000,,
PS-DC-PKL-09,'Someday',5-10,8,4,Spell Scroll of Leeomund's Tiny Hut,"Trident +2, Waterborne property","Ruby of the War Mage, Language property (Aquan)",,,Andrew Geesy,5000,Trinket,
PS-DC-PKL-10,Behind Blue Eyes,5-10,8,4,Spell Scroll of Animal Messenger,"Figurine of Wondrous Power (Bronze Griffon), Language property (Deep Speech)","Staff of Adornment, Language property (Deep Speech)",,,Andrew Geesy,5000,,Reward summary from previous adventure in series.
PS-DC-PKL-11,Short Metal Circuits,11-16,13,4,,"Rod of Hellish Flames, Wicked property","Dread Helm, Language property (Qualith)",,Charm of the Moon,Andrew Geesy,5000,,
PS-DC-PKL-12,The Beaten Drum,11-16,13,4,"Elixir of Health, Spell Scroll of Rary's Telepathic Bond, Spell Scroll of Protection (Demons)","Figurine of Wondrous Power (Obsidian Steed), Language property (Abyssal)",Pipe of Smoke Monsters,,The Name of The Dragon,Andrew Geesy,50000,,
PS-DC-PKL-13,The Endless Story,11-16,13,4,,"Amethyst Lodestone, Compass property","Rope of Mending, Language property (Giant)",,Blessing of Protection,Andrew Geesy,50000,,
PS-DC-PKL-14,The Split,11-16,13,4,,"Bow of Melodies, Guardian property","Half Plate of Gleaming, Strange Material property (clouds)",,"Charm of Euryale, He Followed Me Home",Andrew Geesy,50000,,
PS-DC-PKL-15,Shadows In My Veins,11-16,13,4,Bead of Force,"Eldritch Staff, Harmonious property","Pole of Collapsing, Temperate property",,"No More Lies, Deals and Devils",Andrew Geesy,50000,,
PS-DC-PKL-16,Some Like it Lukewarm,11-16,13,4,"Potion of Fire Giant Strength, Spell Scroll of Raise Dead, Chime of Opening","Staff of Thunder and Lightning, Hidden Message property","Clothes of Mending, Illusion property",,"These Clothes of Mending, I Loved the Game",Andrew Geesy,50000,,
PS-DC-PKL-17A,All's Hell,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-17B,That Ends Hell,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-18A,The Power,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-18B,The Glory,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-19A,Kingdom Come,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-19B,Come Undone,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-20A,Jawbreakers,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-PKL-20B,Jailbreakers,17-20,18,4,,,,,,Andrew Geesy,,,"Not sold seperately, part of two adventure bundle."
PS-DC-POP-01,Pillars of Peril,17-20,18,4,,"Ring of Spell Turning, Harmonious property",,,"Boon of the Unfettered, Rampage Continues, Beasts Don't Have Rights, Brother of the Tarrasque",Hunter Sinclair,100000,,
PS-DC-RAVENGARD-V,Duke Ravengard Gets Sent to Hell (Again),17-20,18,4,,"Crystal Ball of Telepathy, Hidden Message property","Clockwork Amulet, Key property",,Boon of Skill Proficiency,Jeremy Cheong,100000,Fine Clothes (ea),
PS-DC-SB-BISH01,The Mill On Turley Hill,11-16,13,4,,,,,,GM Jace,,,
PS-DC-SS,Soul and Shadow,17-20,18,4,,"Studded Leather Armor +3, Temperate property","Clockwork Amulet, Guardian property",,Boon of Truesight,Brian Balagot,100000,,
PS-DC-STRAT-DRAGON-03,This One is for the Liches,11-16,13,4,,,,,,Nguyen Le,,,
PS-DC-STRAT-DRAGON-04,My Shattered Heart,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-05,Your Shattered Bond,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-06,Our Shattered Ambitions,17-20,18,4,,,,,,"Alexis Paige, James Clark",,,
PS-DC-STRAT-DRAGON-07,The War of Dragons,17-20,18,4,,"Studded Leather +3, Song Craft property","Clothes of Mending, Gleaming property",,Boon of Immortality,Nguyen Le,50000,,
PS-DC-STRAT-TALES-05,War of the Roses,17-20,18,4,,,,,,Noah Grand,,,
PS-DC-STRAT-TALES-06,Dungeon & A Dragon,17-20,18,4,,,,,,James Clark,,,
PS-DC-STRAT-UNDEAD-02,Liches Just Want to Have Fun,11-16,13,4,,,,,,Nguyen Le,,,
PS-DC-STRAT-UNDEAD-03,Winner Winner Chicken Dinner,17-20,18,4,,,,,,"Noah Grand, Bryn Keeling",,,
PS-DC-STRAT-UNDEAD-04,Overtime,17-20,18,4,,,,,,"Noah Grand, Bryn Keeling",,,
PS-DC-STRAT-UNDEAD-05,Return of the Dragon,17-20,18,4,,"Platinum Scarf, Guardian property","Pipe of Smoke Monsters, Language property (Draconic)",,Boon of Spell Recall,Nguyen Le,25000,,
PS-DC-TST-01,The Eye Behind the Mask,17-20,18,4,,,,,,Aileen Adriane Cerrudo,,,
PS-DC-TT-202,May the Cause be with You,5-10,8,4,"Dust of Sneezing and Choking, Potion of Hill Giant Strength, Mind Crystal (Subtle)","Greatsword +2, Beacon property","Breastplate of Gleaming, Temperate property",,,Ting Yuen Tjiong,5000,,
PS-DC-TYM-DIV-01,"below the world, beneath the sun, i hear somebody singing",17-20,18,4,,"Ring of Spell Turning, Guardian property","Clockwork Amulet, Language property (Elven)",,"Boon of Speed, Those Who Descend into the Underworld, A Brother's Enmity",T.Y. Montiflor,100000,,
PS-DC-UMY-01,The Unmemory of You,1-4,3,4,Potion of Water Breathing,"Sensory Stone, Guardian property","Pipe of Smoke Monsters, War Leader property",,Disremembered,Charles Pandi,500,,
